Address,USB0::0x0957::0x179B::MY58106372::0::INSTR
Model,DSO-X 2002A
Serial Number,MY58106372
Start Time,2025-05-29 11:33:15

Sample Count,Time(s),1(VOLT),2(VOLT),
1,-0.0250000003725,-0.429886937141,0.00988379493356,
2,-0.0249744001776,-0.429886937141,0.00586369261146,
3,-0.0249487999827,-0.429886937141,0.0038536451757,
4,-0.0249231997877,-0.429886937141,-0.00217650458217,
5,-0.0248975995928,-0.429886937141,0.00586369261146,
6,-0.0248719993979,-0.429886937141,0.00586369261146,
7,-0.0248463992029,-0.429886937141,-0.00820665434003,
8,-0.0248208008707,-0.429886937141,-0.00619660690427,
9,-0.0247952006757,-0.409786403179,-0.000166457146406,
10,-0.0247696004808,-0.429886937141,-0.000166457146406,
11,-0.0247440002859,-0.429886937141,-0.00619660690427,
12,-0.0247184000909,-0.409786403179,0.0038536451757,
13,-0.024692799896,-0.409786403179,0.00184359401464,
14,-0.0246671997011,-0.429886937141,-0.00619660690427,
15,-0.0246415995061,-0.409786403179,-0.00418655574322,
16,-0.0246159993112,-0.409786403179,0.00586369261146,
17,-0.0245903991163,-0.429886937141,-0.00418655574322,
18,-0.024564800784,-0.429886937141,-0.00820665434003,
19,-0.0245392005891,-0.409786403179,-0.0102167092264,
20,-0.0245136003941,-0.429886937141,-0.00619660690427,
21,-0.0244880001992,-0.409786403179,-0.00418655574322,
22,-0.0244624000043,-0.409786403179,-0.00217650458217,
23,-0.0244367998093,-0.429886937141,-0.00217650458217,
24,-0.0244111996144,-0.429886937141,-0.00820665434003,
25,-0.0243855994195,-0.429886937141,-0.0142368115485,
26,-0.0243599992245,-0.429886937141,-0.00820665434003,
27,-0.0243344008923,-0.409786403179,-0.0102167092264,
28,-0.0243088006973,-0.429886937141,-0.00619660690427,
29,-0.0242832005024,-0.409786403179,-0.00418655574322,
30,-0.0242576003075,-0.409786403179,-0.00418655574322,
31,-0.0242320001125,-0.429886937141,-0.00619660690427,
32,-0.0242063999176,-0.409786403179,-0.00418655574322,
33,-0.0241807997227,-0.409786403179,-0.00820665434003,
34,-0.0241551995277,-0.409786403179,-0.00619660690427,
35,-0.0241295993328,-0.409786403179,-0.0122267566621,
36,-0.0241039991379,-0.429886937141,-0.0142368115485,
37,-0.0240784008056,-0.409786403179,-0.0142368115485,
38,-0.0240528006107,-0.409786403179,-0.0102167092264,
39,-0.0240272004157,-0.409786403179,-0.0102167092264,
40,-0.0240016002208,-0.429886937141,-0.0122267566621,
41,-0.0239760000259,-0.409786403179,-0.0102167092264,
42,-0.0239503998309,-0.429886937141,-0.0162468589842,
43,-0.023924799636,-0.409786403179,-0.0122267566621,
44,-0.0238991994411,-0.409786403179,-0.0142368115485,
45,-0.0238735992461,-0.429886937141,-0.01825690642,
46,-0.0238480009139,-0.409786403179,-0.01825690642,
47,-0.0238224007189,-0.389685928822,-0.01825690642,
48,-0.023796800524,-0.409786403179,-0.0202669613063,
49,-0.0237712003291,-0.409786403179,-0.01825690642,
50,-0.0237456001341,-0.429886937141,-0.0102167092264,
51,-0.0237199999392,-0.389685928822,-0.0102167092264,
52,-0.0236943997443,-0.389685928822,-0.0122267566621,
53,-0.0236687995493,-0.389685928822,-0.0102167092264,
54,-0.0236431993544,-0.389685928822,-0.0122267566621,
55,-0.0236175991595,-0.409786403179,-0.0242870561779,
56,-0.0235920008272,-0.389685928822,-0.0202669613063,
57,-0.0235664006323,-0.389685928822,-0.01825690642,
58,-0.0235408004373,-0.389685928822,-0.0142368115485,
59,-0.0235152002424,-0.389685928822,-0.01825690642,
60,-0.0234896000475,-0.389685928822,-0.0122267566621,
61,-0.0234639998525,-0.409786403179,-0.0162468589842,
62,-0.0234383996576,-0.389685928822,-0.0242870561779,
63,-0.0234127994627,-0.389685928822,-0.0242870561779,
64,-0.0233871992677,-0.389685928822,-0.01825690642,
65,-0.0233615990728,-0.389685928822,-0.0122267566621,
66,-0.0233360007405,-0.389685928822,-0.0222770087421,
67,-0.0233104005456,-0.389685928822,-0.0222770087421,
68,-0.0232848003507,-0.389685928822,-0.01825690642,
69,-0.0232592001557,-0.369585394859,-0.01825690642,
70,-0.0232335999608,-0.389685928822,-0.0122267566621,
71,-0.0232079997659,-0.369585394859,-0.0162468589842,
72,-0.0231823995709,-0.389685928822,-0.0142368115485,
73,-0.023156799376,-0.369585394859,-0.01825690642,
74,-0.0231311991811,-0.389685928822,-0.0222770087421,
75,-0.0231056008488,-0.369585394859,-0.0162468589842,
76,-0.0230800006539,-0.369585394859,-0.0142368115485,
77,-0.0230544004589,-0.369585394859,-0.0202669613063,
