Address,USB0::0x0957::0x179B::MY58106372::0::INSTR
Model,DSO-X 2002A
Serial Number,MY58106372
Start Time,2025-05-29 13:26:23

Sample Count,Time(s),1(VOLT),2(VOLT),
1,-2.50000002922e-08,0.443399488926,0.00829547643661,
2,-2.4921874342e-08,0.442796498537,0.00816984474659,
3,-2.48437501682e-08,0.44214323163,0.00804422050714,
4,-2.4765624218e-08,0.441540211439,0.00779296457767,
5,-2.46875000443e-08,0.440987437963,0.00741607695818,
6,-2.46093758705e-08,0.44043469429,0.00716482102871,
7,-2.45312499203e-08,0.439881920815,0.00678794085979,
8,-2.44531257465e-08,0.439329147339,0.00628542900085,
9,-2.43749997964e-08,0.438826650381,0.00578290969133,
10,-2.42968756226e-08,0.438324123621,0.00528039783239,
11,-2.42187496724e-08,0.437871873379,0.00465226173401,
12,-2.41406254986e-08,0.437469869852,0.00414974987507,
13,-2.40624995484e-08,0.437067836523,0.0035216063261,
14,-2.39843753747e-08,0.436665832996,0.00289346277714,
15,-2.39062494245e-08,0.436314076185,0.00213969498873,
16,-2.38281252507e-08,0.43601256609,0.00151155889034,
17,-2.37499993005e-08,0.435711055994,0.000757791101933,
18,-2.36718751268e-08,0.435459792614,0.000129647552967,
19,-2.35937491766e-08,0.435258805752,-0.000624120235443,
20,-2.35156250028e-08,0.435057789087,-0.00137788802385,
21,-2.3437500829e-08,0.434907048941,-0.00200603157282,
22,-2.33593748789e-08,0.434806525707,-0.00275979936123,
23,-2.32812507051e-08,0.434756278992,-0.00351356714964,
24,-2.32031247549e-08,0.434756278992,-0.0041417106986,
25,-2.31250005811e-08,0.434756278992,-0.00489547848701,
26,-2.30468746309e-08,0.434806525707,-0.00552362203598,
27,-2.29687504572e-08,0.434907048941,-0.00615175813437,
28,-2.2890624507e-08,0.435007542372,-0.00677990168333,
29,-2.28125003332e-08,0.435208559036,-0.00728241354227,
30,-2.2734374383e-08,0.435409545898,-0.00778492540121,
31,-2.26562502093e-08,0.435660809278,-0.00828743726015,
32,-2.25781242591e-08,0.435962319374,-0.00878994911909,
33,-2.25000000853e-08,0.43626382947,-0.00916683673859,
34,-2.24218741351e-08,0.436615586281,-0.00941809266806,
35,-2.23437499614e-08,0.437017589808,-0.00979497283697,
36,-2.22656257876e-08,0.437419593334,-0.010046236217,
37,-2.21874998374e-08,0.437871873379,-0.0102974921465,
38,-2.21093756636e-08,0.438374370337,-0.010548748076,
39,-2.20312497135e-08,0.438826650381,-0.0108000040054,
40,-2.19531255397e-08,0.439379394054,-0.0109256282449,
41,-2.18749995895e-08,0.43993216753,-0.0111768841743,
42,-2.17968754157e-08,0.440484941006,-0.0113025158644,
43,-2.17187494655e-08,0.441087961197,-0.0114281401038,
44,-2.16406252918e-08,0.44164070487,-0.0115537717938,
45,-2.15624993416e-08,0.442243725061,-0.0116793960333,
46,-2.14843751678e-08,0.442846745253,-0.0118050277233,
47,-2.14062492176e-08,0.443500012159,-0.0119306519628,
48,-2.13281250439e-08,0.444103032351,-0.0120562836528,
49,-2.12500008701e-08,0.444756299257,-0.0123075395823,
50,-2.11718749199e-08,0.445409566164,-0.0123075395823,
51,-2.10937507461e-08,0.446062803268,-0.0124331638217,
52,-2.1015624796e-08,0.44666582346,-0.0125587955117,
