Time	X-ray (ID 01) / Impulse Imp	X-ray (ID 01) / Voltage U	X-ray (ID 01) / Current I	X-ray (ID 01) / Detector angle θ_d	X-ray (ID 01) / Crystal angle θ_c
t/s	Imp/# / s	U/kV	I/mA	θ_d/°	θ_c/°

278.00	145	35.0	1.00	33.8	16.9
280.00	160	35.0	1.00	34.0	17.0
282.00	134	35.0	1.00	34.2	17.1
284.00	152	35.0	1.00	34.4	17.2
286.00	146	35.0	1.00	34.6	17.3
288.00	137	35.0	1.00	34.8	17.4
290.00	151	35.0	1.00	35.0	17.5
292.00	151	35.0	1.00	35.2	17.6
294.00	132	35.0	1.00	35.4	17.7
296.00	142	35.0	1.00	35.6	17.8
298.00	140	35.0	1.00	35.8	17.9
300.00	148	35.0	1.00	36.0	18.0
302.00	140	35.0	1.00	36.2	18.1
304.00	132	35.0	1.00	36.4	18.2
306.00	144	35.0	1.00	36.6	18.3
308.00	137	35.0	1.00	36.8	18.4
310.00	139	35.0	1.00	37.0	18.5
312.00	139	35.0	1.00	37.2	18.6
314.00	140	35.0	1.00	37.4	18.7
316.00	183	35.0	1.00	37.6	18.8
318.00	185	35.0	1.00	37.8	18.9
320.00	153	35.0	1.00	38.0	19.0
322.00	153	35.0	1.00	38.2	19.1
324.00	138	35.0	1.00	38.4	19.2
326.00	122	35.0	1.00	38.6	19.3
328.00	127	35.0	1.00	38.8	19.4
330.00	124	35.0	1.00	39.0	19.5
332.00	131	35.0	1.00	39.2	19.6
334.00	127	35.0	1.00	39.4	19.7
336.00	134	35.0	1.00	39.6	19.8
338.00	133	35.0	1.00	39.8	19.9
340.00	140	35.0	1.00	40.0	20.0
342.00	125	35.0	1.00	40.2	20.1
344.00	127	35.0	1.00	40.4	20.2
346.00	131	35.0	1.00	40.6	20.3
348.00	132	35.0	1.00	40.8	20.4
350.00	134	35.0	1.00	41.0	20.5
352.00	124	35.0	1.00	41.2	20.6
354.00	129	35.0	1.00	41.4	20.7
356.00	110	35.0	1.00	41.6	20.8
358.00	128	35.0	1.00	41.8	20.9
360.00	112	35.0	1.00	42.0	21.0
362.00	120	35.0	1.00	42.2	21.1
364.00	127	35.0	1.00	42.4	21.2
