Frank-Hertz Experiment											
											
Vr(V)= 1.5											
Cathode Heater Current (mA) = 340											
		 									
Va(V)_1	Ia(E-12 A)_1	T(c)_1	Va(V)_2	Ia(E-12 A)_2	T(c)_2	Va(V)_3	Ia(E-12 A)_3	T(c)_3	Va(V)_4	Ia(E-12 A)_4	T(c)_4
5.40	2227.44	93.17	5.40	1520.71	93.29	5.40	1018.49	100.39	5.40	395.68	110.89
5.50	2476.03	93.16	5.50	1742.31	93.29	5.50	1166.90	100.38	5.50	445.46	110.89
5.60	2850.44	93.16	5.60	2069.58	93.29	5.60	1386.44	100.38	5.60	521.87	110.91
5.70	3179.09	93.15	5.70	2357.47	93.29	5.70	1579.02	100.38	5.70	587.39	110.91
5.80	3628.77	93.15	5.80	2754.01	93.30	5.80	1844.18	100.38	5.80	677.01	110.94
5.90	3992.30	93.14	5.90	3081.18	93.30	5.90	2064.85	100.38	5.90	748.86	110.94
6.00	4496.18	93.14	6.00	3530.94	93.31	6.00	2361.96	100.38	6.00	843.46	110.94
6.10	4923.88	93.13	6.10	3917.46	93.31	6.10	2613.34	100.37	6.10	915.38	110.97
6.20	5473.41	93.13	6.20	4413.72	93.31	6.20	2932.55	100.37	6.20	996.37	110.97
6.30	5861.19	93.13	6.30	4787.34	93.31	6.30	3156.75	100.37	6.30	1032.61	111.00
6.40	6395.62	93.13	6.40	5261.87	93.31	6.40	3434.50	100.37	6.40	1057.46	111.00
6.50	6845.65	93.11	6.50	5662.60	93.31	6.50	3671.72	100.37	6.50	1074.31	111.02
6.60	7412.01	93.11	6.60	6166.94	93.32	6.60	3947.69	100.37	6.60	1086.90	111.02
6.70	7924.79	93.11	6.70	6621.11	93.32	6.70	4192.43	100.36	6.70	1075.77	111.05
6.80	8289.65	93.11	6.80	6944.05	93.33	6.80	4333.85	100.36	6.80	1045.91	111.05
6.90	8714.47	93.11	6.90	7325.07	93.33	6.90	4476.44	100.35	6.90	990.75	111.07
7.00	8940.06	93.09	7.00	7536.54	93.33	7.00	4503.11	100.35	7.00	916.53	111.07
7.10	9269.40	93.09	7.10	7776.30	93.34	7.10	4540.78	100.36	7.10	844.35	111.08
7.20	9535.28	93.08	7.20	7977.21	93.34	7.20	4582.48	100.36	7.20	796.97	111.08
7.30	9978.69	93.08	7.30	8323.87	93.35	7.30	4682.98	100.35	7.30	751.24	111.11
7.40	10347.80	93.08	7.40	8607.76	93.35	7.40	4765.46	100.35	7.40	716.64	111.11
7.40	10092.00	93.08	7.50	8977.53	93.35	7.50	4881.25	100.34	7.50	693.90	111.12
0.00	11380.77	93.05	7.60	9253.17	93.35	7.60	4975.38	100.34	7.60	684.69	111.12
			7.70	9695.17	93.36	7.70	5157.00	100.34	7.70	701.29	111.15
			7.80	10055.11	93.36	7.80	5339.61	100.34	7.80	732.21	111.15
			7.90	10617.34	93.37	7.90	5649.88	100.34	7.90	791.21	111.17
			0.00	11108.73	93.38	8.00	5967.59	100.33	8.00	836.68	111.17
						8.10	6448.06	100.33	8.10	889.39	111.19
						8.20	6980.30	100.32	8.20	955.39	111.19
						8.30	7506.11	100.32	8.30	1049.65	111.21
						8.40	7973.14	100.32	8.40	1162.79	111.21
						8.50	8641.46	100.32	8.50	1341.01	111.23
						8.60	9317.34	100.32	8.60	1493.90	111.23
						8.70	10262.48	100.32	8.70	1665.17	111.26
						8.70	10190.52	100.31	8.80	1809.95	111.26
