Frank-Hertz Experiment											
											
Vr(V)= 1.5											
Cathode Heater Current (mA) = 300											
		 									
Va(V)_1	Ia(E-12 A)_1	T(c)_1	Va(V)_2	Ia(E-12 A)_2	T(c)_2	Va(V)_3	Ia(E-12 A)_3	T(c)_3	Va(V)_4	Ia(E-12 A)_4	T(c)_4
5.40	3.12	165.21	5.40	13.82	151.59	5.40	43.23	139.25	5.40	133.39	129.58
5.50	3.51	165.21	5.50	15.80	151.56	5.50	49.32	139.25	5.50	151.43	129.56
5.60	4.00	165.22	5.60	17.78	151.56	5.60	54.64	139.25	5.60	166.75	129.56
5.70	4.35	165.22	5.70	20.16	151.54	5.70	61.64	139.25	5.70	187.27	129.54
5.80	5.03	165.23	5.80	22.25	151.54	5.80	67.92	139.25	5.80	204.57	129.54
5.90	5.56	165.23	5.90	24.77	151.52	5.90	74.86	139.25	5.90	224.47	129.51
6.00	6.00	165.24	6.00	26.78	151.52	6.00	80.64	139.26	6.00	241.19	129.51
6.10	6.60	165.24	6.10	29.06	151.49	6.10	86.77	139.26	6.10	259.77	129.50
6.20	6.81	165.25	6.20	29.87	151.49	6.20	89.75	139.27	6.20	270.14	129.50
6.30	7.08	165.25	6.30	29.56	151.46	6.30	89.17	139.27	6.30	273.24	129.48
6.40	6.93	165.26	6.40	27.62	151.46	6.40	82.85	139.26	6.40	261.90	129.48
6.50	6.75	165.26	6.50	24.80	151.43	6.50	73.69	139.26	6.50	240.59	129.48
6.60	6.44	165.28	6.60	22.06	151.43	6.60	63.01	139.27	6.60	212.95	129.46
6.70	6.19	165.28	6.70	19.19	151.40	6.70	52.43	139.27	6.70	181.44	129.46
6.80	6.04	165.30	6.80	17.38	151.40	6.80	45.57	139.27	6.80	157.28	129.44
6.90	5.82	165.30	6.90	15.57	151.40	6.90	38.58	139.27	6.90	130.47	129.44
7.00	5.44	165.31	7.00	14.23	151.38	7.00	33.77	139.27	7.00	109.42	129.42
7.10	5.25	165.31	7.10	12.83	151.38	7.10	29.04	139.27	7.10	88.06	129.42
7.20	4.71	165.33	7.20	11.50	151.35	7.20	24.95	139.27	7.20	70.35	129.40
7.30	4.90	165.33	7.30	10.55	151.35	7.30	22.27	139.27	7.30	60.14	129.40
7.40	4.45	165.35	7.40	9.40	151.32	7.40	19.33	139.28	7.40	50.15	129.38
7.50	4.20	165.35	7.50	8.61	151.32	7.50	17.23	139.28	7.50	43.24	129.38
7.60	3.93	165.36	7.60	7.72	151.29	7.60	15.04	139.28	7.60	36.99	129.35
7.70	3.70	165.36	7.70	6.93	151.29	7.70	13.45	139.28	7.70	33.03	129.35
7.80	3.40	165.38	7.80	6.34	151.27	7.80	12.08	139.28	7.80	29.70	129.34
7.90	3.19	165.38	7.90	5.90	151.27	7.90	11.13	139.29	7.90	27.58	129.34
8.00	2.99	165.40	8.00	5.53	151.24	8.00	10.58	139.29	8.00	27.04	129.32
8.10	2.93	165.40	8.10	5.56	151.24	8.10	10.54	139.29	8.10	27.90	129.32
8.20	2.73	165.41	8.20	5.44	151.21	8.20	10.96	139.29	8.20	30.15	129.29
8.30	2.69	165.41	8.30	5.63	151.21	8.30	11.49	139.29	8.30	32.63	129.29
8.40	2.65	165.42	8.40	5.80	151.18	8.40	12.47	139.29	8.40	36.07	129.27
8.50	2.57	165.42	8.50	6.09	151.18	8.50	13.55	139.29	8.50	40.44	129.27
8.60	2.80	165.44	8.60	6.64	151.16	8.60	15.23	139.29	8.60	46.58	129.25
8.70	2.66	165.44	8.70	7.24	151.16	8.70	17.05	139.30	8.70	52.99	129.25
8.80	2.75	165.45	8.80	7.89	151.12	8.80	19.30	139.30	8.80	60.52	129.23
8.90	2.99	165.45	8.90	9.04	151.12	8.90	22.13	139.31	8.90	70.31	129.23
9.00	2.95	165.47	9.00	9.99	151.10	9.00	24.99	139.31	9.00	79.20	129.21
9.10	3.31	165.47	9.10	11.21	151.10	9.10	28.94	139.31	9.10	91.30	129.21
9.20	3.50	165.49	9.20	12.58	151.07	9.20	32.35	139.31	9.20	102.21	129.19
9.30	3.85	165.49	9.30	14.32	151.07	9.30	37.34	139.31	9.30	116.78	129.19
9.40	4.26	165.51	9.40	16.16	151.04	9.40	42.19	139.31	9.40	131.50	129.17
9.50	4.53	165.51	9.50	17.96	151.04	9.50	46.87	139.32	9.50	145.45	129.17
9.60	5.03	165.53	9.60	20.08	151.02	9.60	53.17	139.32	9.60	163.81	129.15
9.70	5.41	165.53	9.70	22.28	151.02	9.70	58.93	139.32	9.70	180.07	129.15
9.80	6.02	165.53	9.80	25.19	150.98	9.80	66.21	139.32	9.80	201.39	129.13
9.90	6.79	165.55	9.90	28.17	150.98	9.90	74.31	139.34	9.90	223.63	129.13
10.00	7.29	165.55	10.00	30.94	150.96	10.00	81.11	139.34	10.00	242.77	129.11
10.10	7.99	165.57	10.10	33.88	150.96	10.10	88.66	139.34	10.10	263.92	129.11
10.20	8.90	165.57	10.20	37.73	150.93	10.20	98.10	139.34	10.20	289.92	129.10
10.30	9.70	165.58	10.30	41.25	150.93	10.30	106.49	139.35	10.30	312.10	129.10
10.40	10.59	165.58	10.40	45.57	150.90	10.40	116.92	139.35	10.40	340.54	129.08
10.50	11.39	165.60	10.50	49.17	150.90	10.50	126.16	139.35	10.50	365.32	129.08
10.60	12.58	165.60	10.60	53.45	150.88	10.60	136.49	139.35	10.60	393.19	129.05
10.70	13.38	165.63	10.70	57.18	150.88	10.70	145.63	139.36	10.70	418.12	129.05
10.80	14.45	165.63	10.80	61.21	150.85	10.80	156.28	139.36	10.80	448.13	129.04
10.90	15.16	165.65	10.90	63.92	150.85	10.90	163.35	139.37	10.90	470.40	129.04
11.00	15.41	165.65	11.00	65.05	150.83	11.00	167.90	139.37	11.00	490.32	129.02
11.10	15.11	165.67	11.10	63.42	150.83	11.10	166.48	139.37	11.10	498.96	129.02
11.20	14.26	165.67	11.20	59.29	150.80	11.20	159.10	139.37	11.20	495.43	129.00
11.30	13.17	165.69	11.30	53.17	150.80	11.30	146.89	139.38	11.30	481.16	129.00
11.40	11.50	165.69	11.40	44.82	150.78	11.40	128.17	139.38	11.40	451.40	128.98
11.50	10.24	165.71	11.50	37.92	150.78	11.50	111.69	139.38	11.50	420.70	128.98
11.60	8.75	165.71	11.60	31.53	150.75	11.60	94.97	139.38	11.60	383.88	128.96
11.70	7.77	165.73	11.70	26.90	150.75	11.70	81.81	139.39	11.70	347.87	128.96
11.80	6.92	165.73	11.80	23.36	150.72	11.80	70.98	139.39	11.80	314.28	128.95
11.90	6.05	165.75	11.90	19.85	150.72	11.90	59.01	139.39	11.90	271.93	128.95
12.00	5.52	165.75	12.00	16.93	150.70	12.00	49.38	139.39	12.00	235.52	128.95
12.10	4.93	165.78	12.10	13.97	150.70	12.10	39.09	139.40	12.10	195.36	128.93
12.20	4.39	165.78	12.20	11.81	150.66	12.20	32.61	139.40	12.20	167.98	128.93
