Frank-Hertz Experiment								
								
Vr(V)= 1.0								
Cathode Heater Current (mA) = 290								
		 						
Va(V)_1	Ia(E-12 A)_1	T(c)_1	Va(V)_2	Ia(E-12 A)_2	T(c)_2	Va(V)_3	Ia(E-12 A)_3	T(c)_3
10.74	0.26	114.51	10.74	0.36	110.35	10.74	0.72	105.27
10.75	0.19	114.50	10.75	0.38	110.34	10.75	0.69	105.27
10.76	0.22	114.50	10.76	0.26	110.34	10.76	0.62	105.25
10.77	0.32	114.48	10.77	0.43	110.32	10.77	0.65	105.25
10.78	0.26	114.48	10.78	0.38	110.32	10.78	0.77	105.24
10.79	0.35	114.46	10.79	0.54	110.31	10.79	0.76	105.24
10.80	0.14	114.46	10.80	0.41	110.31	10.80	0.77	105.22
10.81	0.18	114.45	10.81	0.33	110.30	10.81	0.80	105.22
10.82	0.41	114.45	10.82	0.41	110.30	10.82	0.73	105.20
10.83	0.40	114.44	10.83	0.45	110.28	10.83	0.64	105.20
10.84	0.32	114.44	10.84	0.61	110.28	10.84	0.87	105.19
10.85	0.28	114.42	10.85	0.40	110.27	10.85	0.80	105.19
10.86	0.41	114.42	10.86	0.54	110.27	10.86	0.82	105.17
10.87	0.39	114.40	10.87	0.55	110.26	10.87	0.84	105.17
10.88	0.33	114.40	10.88	0.43	110.26	10.88	0.83	105.16
10.89	0.31	114.39	10.89	0.39	110.24	10.89	0.94	105.16
10.90	0.32	114.39	10.90	0.38	110.24	10.90	0.82	105.14
10.91	0.25	114.39	10.91	0.45	110.22	10.91	0.98	105.14
10.92	0.35	114.37	10.92	0.54	110.22	10.92	0.98	105.14
10.93	0.42	114.37	10.93	0.54	110.21	10.93	0.94	105.13
10.94	0.40	114.36	10.94	0.58	110.21	10.94	0.91	105.13
10.95	0.33	114.36	10.95	0.71	110.19	10.95	0.87	105.12
10.96	0.31	114.35	10.96	0.57	110.19	10.96	0.99	105.12
10.97	0.42	114.35	10.97	0.59	110.17	10.97	1.03	105.10
10.98	0.52	114.34	10.98	0.66	110.17	10.98	1.11	105.10
10.99	0.44	114.34	10.99	0.78	110.17	10.99	1.22	105.09
11.00	0.58	114.33	11.00	0.79	110.17	11.00	1.19	105.09
11.01	0.55	114.33	11.01	0.76	110.15	11.01	1.09	105.08
11.02	0.49	114.31	11.02	0.87	110.15	11.02	1.25	105.08
11.03	0.55	114.31	11.03	0.72	110.13	11.03	1.12	105.06
11.04	0.52	114.30	11.04	0.98	110.13	11.04	1.24	105.06
11.05	0.61	114.30	11.05	0.81	110.12	11.05	1.37	105.04
11.06	0.74	114.28	11.06	1.02	110.12	11.06	1.34	105.04
11.07	0.71	114.28	11.07	0.90	110.11	11.07	1.52	105.03
11.08	0.69	114.27	11.08	1.01	110.11	11.08	1.39	105.03
11.09	0.65	114.27	11.09	0.94	110.10	11.09	1.60	105.02
11.10	0.77	114.25	11.10	1.05	110.10	11.10	1.62	105.02
11.11	0.65	114.25	11.11	0.96	110.08	11.11	1.65	105.00
11.12	0.71	114.23	11.12	1.10	110.08	11.12	1.56	105.00
11.13	0.71	114.23	11.13	1.12	110.06	11.13	1.73	104.99
11.14	0.93	114.22	11.14	1.28	110.06	11.14	1.83	104.99
11.15	0.89	114.22	11.15	1.35	110.05	11.15	1.85	104.98
11.16	0.95	114.20	11.16	1.27	110.05	11.16	1.96	104.98
11.17	0.80	114.20	11.17	1.29	110.05	11.17	2.02	104.96
11.18	0.99	114.18	11.18	1.53	110.04	11.18	2.21	104.96
11.19	0.89	114.18	11.19	1.43	110.04	11.19	2.14	104.94
11.20	1.11	114.16	11.20	1.56	110.02	11.20	2.15	104.94
11.21	1.06	114.16	11.21	1.62	110.02	11.21	2.19	104.93
11.22	1.16	114.15	11.22	1.47	110.01	11.22	2.29	104.93
11.23	1.15	114.15	11.23	1.58	110.01	11.23	2.50	104.92
11.24	1.24	114.14	11.24	1.62	109.99	11.24	2.47	104.92
11.25	1.27	114.14	11.25	1.98	109.99	11.25	2.66	104.90
11.26	1.14	114.12	11.26	1.80	109.98	11.26	2.68	104.90
11.27	1.22	114.12	11.27	1.91	109.98	11.27	2.70	104.89
11.28	1.34	114.10	11.28	1.86	109.96	11.28	2.83	104.89
11.29	1.33	114.10	11.29	2.10	109.96	11.29	2.93	104.88
11.30	1.45	114.09	11.30	2.00	109.94	11.30	2.94	104.88
11.31	1.52	114.09	11.31	2.17	109.94	11.31	3.11	104.86
11.32	1.71	114.07	11.32	2.21	109.93	11.32	3.27	104.86
11.33	1.57	114.07	11.33	2.24	109.93	11.33	3.20	104.85
11.34	1.58	114.05	11.34	2.46	109.91	11.34	3.44	104.85
11.35	1.50	114.05	11.35	2.39	109.91	11.35	3.39	104.83
11.36	1.68	114.05	11.36	2.64	109.90	11.36	3.52	104.83
11.37	1.77	114.04	11.37	2.45	109.90	11.37	3.50	104.81
11.38	1.82	114.04	11.38	2.63	109.89	11.38	3.74	104.81
11.39	1.70	114.02	11.39	2.44	109.89	11.39	3.74	104.80
11.40	1.89	114.02	11.40	2.66	109.87	11.40	3.93	104.80
11.41	1.74	114.00	11.41	2.73	109.87	11.41	3.86	104.80
11.42	1.98	114.00	11.42	2.78	109.87	11.42	4.05	104.79
11.43	2.12	113.99	11.43	2.94	109.87	11.43	4.26	104.79
11.44	2.06	113.99	11.44	2.91	109.85	11.44	4.13	104.77
11.45	1.93	113.97	11.45	3.03	109.85	11.45	4.36	104.77
11.46	2.06	113.97	11.46	3.02	109.84	11.46	4.41	104.76
11.47	2.18	113.95	11.47	3.16	109.84	11.47	4.59	104.76
11.48	2.09	113.95	11.48	3.12	109.82	11.48	4.52	104.75
11.49	2.23	113.94	11.49	3.21	109.82	11.49	4.66	104.75
11.50	2.06	113.94	11.50	3.12	109.81	11.50	4.74	104.73
