LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,-0.720000,-0.720000,-4.113524333333e-10,9.060566931980e-12,3,-4.047361000000e-10;-4.241637000000e-10;-4.051575000000e-10
12.0,-0.710000,-0.710000,-4.262848000000e-10,1.002383617717e-11,3,-4.343198000000e-10;-4.121532000000e-10;-4.323814000000e-10
12.0,-0.700000,-0.700000,-3.985692666667e-10,6.513555993635e-12,3,-4.020811000000e-10;-3.894384000000e-10;-4.041883000000e-10
12.0,-0.690000,-0.690000,-3.819933000000e-10,1.275061398862e-11,3,-3.806307000000e-10;-3.982462000000e-10;-3.671030000000e-10
12.0,-0.680000,-0.680000,-3.761917000000e-10,1.047536967399e-11,3,-3.899863000000e-10;-3.646166000000e-10;-3.739722000000e-10
12.0,-0.670000,-0.670000,-3.726658000000e-10,8.345518067801e-12,3,-3.827799000000e-10;-3.728766000000e-10;-3.623409000000e-10
12.0,-0.660000,-0.660000,-3.600511666667e-10,1.146266299494e-11,3,-3.439668000000e-10;-3.698423000000e-10;-3.663444000000e-10
12.0,-0.650000,-0.650000,-3.398509333333e-10,6.855634942310e-12,3,-3.321670000000e-10;-3.488132000000e-10;-3.385726000000e-10
12.0,-0.640000,-0.640000,-3.331503666667e-10,1.146052474666e-11,3,-3.460740000000e-10;-3.182180000000e-10;-3.351591000000e-10
12.0,-0.630000,-0.630000,-3.277279666667e-10,4.981575827208e-12,3,-3.335998000000e-10;-3.281633000000e-10;-3.214208000000e-10
12.0,-0.620000,-0.620000,-2.980037000000e-10,4.665223681668e-12,3,-2.938597000000e-10;-2.956297000000e-10;-3.045217000000e-10
12.0,-0.610000,-0.610000,-2.870045666667e-10,1.300862027871e-12,3,-2.864427000000e-10;-2.857684000000e-10;-2.888026000000e-10
12.0,-0.600000,-0.600000,-2.770027333333e-10,3.536588265861e-12,3,-2.740528000000e-10;-2.819755000000e-10;-2.749799000000e-10
12.0,-0.590000,-0.590000,-2.569571333333e-10,2.676238734161e-12,3,-2.534453000000e-10;-2.574909000000e-10;-2.599352000000e-10
12.0,-0.580000,-0.580000,-2.409009000000e-10,3.085316885940e-12,3,-2.372627000000e-10;-2.406340000000e-10;-2.448060000000e-10
12.0,-0.570000,-0.570000,-2.359843333333e-10,6.841619191553e-12,3,-2.287921000000e-10;-2.451854000000e-10;-2.339755000000e-10
12.0,-0.560000,-0.560000,-2.239316000000e-10,3.285357126199e-12,3,-2.274013000000e-10;-2.195207000000e-10;-2.248728000000e-10
12.0,-0.550000,-0.550000,-1.901055333333e-10,2.934471511003e-12,3,-1.866920000000e-10;-1.938562000000e-10;-1.897684000000e-10
12.0,-0.540000,-0.540000,-1.944742666667e-10,1.483381389244e-11,3,-1.955840000000e-10;-2.120616000000e-10;-1.757772000000e-10
12.0,-0.530000,-0.530000,-1.657052000000e-10,9.798812206929e-13,3,-1.654523000000e-10;-1.646517000000e-10;-1.670116000000e-10
