LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
0,-0.66,-0.66,-9.77E-11,9.01E-12,3,-8.753714000000e-11;-1.094487000000e-10;-9.625965000000e-11
0,-0.65,-0.65,-9.61E-11,7.35E-12,3,-1.064570000000e-10;-9.191949000000e-11;-8.998115000000e-11
0,-0.64,-0.64,-9.22E-11,8.79E-12,3,-7.991027000000e-11;-1.000942000000e-10;-9.651247000000e-11
0,-0.63,-0.63,-9.30E-11,1.28E-11,3,-9.811373000000e-11;-7.548581000000e-11;-1.055300000000e-10
0,-0.62,-0.62,-1.04E-10,5.94E-12,3,-1.029174000000e-10;-9.718673000000e-11;-1.116399000000e-10
0,-0.61,-0.61,-9.37E-11,6.32E-12,3,-8.859061000000e-11;-1.025803000000e-10;-8.985474000000e-11
0,-0.6,-0.6,-9.15E-11,1.23E-11,3,-1.011055000000e-10;-7.405313000000e-11;-9.920931000000e-11
0,-0.59,-0.59,-8.65E-11,5.18E-13,3,-8.648368000000e-11;-8.593594000000e-11;-8.720011000000e-11
0,-0.58,-0.58,-8.26E-11,6.74E-12,3,-7.805620000000e-11;-9.208805000000e-11;-7.755060000000e-11
0,-0.57,-0.57,-9.41E-11,1.42E-12,3,-9.545908000000e-11;-9.217236000000e-11;-9.478489000000e-11
0,-0.56,-0.56,-9.00E-11,5.46E-12,3,-8.281776000000e-11;-9.128749000000e-11;-9.600683000000e-11
0,-0.55,-0.55,-8.09E-11,1.09E-11,3,-9.267798000000e-11;-6.634204000000e-11;-8.378703000000e-11
0,-0.54,-0.54,-9.39E-11,1.03E-11,3,-8.045809000000e-11;-1.053614000000e-10;-9.600687000000e-11
0,-0.53,-0.53,-8.59E-11,3.25E-12,3,-9.023403000000e-11;-8.248071000000e-11;-8.484042000000e-11
0,-0.52,-0.52,-8.05E-11,5.81E-12,3,-7.506449000000e-11;-8.859068000000e-11;-7.797202000000e-11
0,-0.51,-0.51,-9.95E-11,5.74E-12,3,-1.039709000000e-10;-9.141386000000e-11;-1.031703000000e-10
0,-0.5,-0.5,-8.81E-11,5.93E-12,3,-7.986817000000e-11;-9.373145000000e-11;-9.057117000000e-11
0,-0.49,-0.49,-8.01E-11,4.81E-12,3,-7.451673000000e-11;-8.627307000000e-11;-7.965748000000e-11
0,-0.48,-0.48,-8.69E-11,6.03E-12,3,-9.065542000000e-11;-9.166673000000e-11;-7.839335000000e-11
0,-0.47,-0.47,-8.59E-11,1.37E-12,3,-8.682090000000e-11;-8.395554000000e-11;-8.690519000000e-11
0,-0.46,-0.46,-7.37E-11,8.06E-12,3,-6.280244000000e-11;-7.616009000000e-11;-8.205939000000e-11
0,-0.45,-0.45,-7.84E-11,7.86E-12,3,-7.072433000000e-11;-8.922276000000e-11;-7.535947000000e-11
0,-0.44,-0.44,-8.45E-11,5.32E-12,3,-9.069760000000e-11;-8.521969000000e-11;-7.771918000000e-11
0,-0.43,-0.43,-7.87E-11,1.57E-12,3,-7.902545000000e-11;-7.658148000000e-11;-8.037383000000e-11
0,-0.42,-0.42,-7.45E-11,2.81E-12,3,-7.287337000000e-11;-7.843557000000e-11;-7.215700000000e-11
0,-0.41,-0.41,-8.08E-11,2.21E-12,3,-8.361848000000e-11;-8.066885000000e-11;-7.822487000000e-11
0,-0.4,-0.4,-7.23E-11,2.47E-12,3,-6.882817000000e-11;-7.455893000000e-11;-7.337903000000e-11
0,-0.39,-0.39,-6.73E-11,2.28E-12,3,-6.436159000000e-11;-6.764836000000e-11;-6.992373000000e-11
0,-0.38,-0.38,-7.55E-11,2.76E-12,3,-7.228345000000e-11;-7.902549000000e-11;-7.514885000000e-11
0,-0.37,-0.37,-7.01E-11,9.65E-12,3,-8.370277000000e-11;-6.208622000000e-11;-6.461443000000e-11
0,-0.36,-0.36,-6.94E-11,3.53E-12,3,-6.482511000000e-11;-7.013447000000e-11;-7.337907000000e-11
0,-0.35,-0.35,-5.91E-11,1.37E-12,3,-5.854661000000e-11;-6.103277000000e-11;-5.783032000000e-11
0,-0.34,-0.34,-7.15E-11,4.13E-12,3,-7.729788000000e-11;-6.794329000000e-11;-6.929169000000e-11
0,-0.33,-0.33,-6.11E-11,2.13E-12,3,-6.343460000000e-11;-6.158055000000e-11;-5.829386000000e-11
0,-0.32,-0.32,-7.87E-11,9.45E-12,3,-8.113241000000e-11;-8.880147000000e-11;-6.604719000000e-11
0,-0.31,-0.31,-7.21E-11,6.56E-12,3,-6.545729000000e-11;-6.992378000000e-11;-8.104811000000e-11
0,-0.3,-0.3,-6.93E-11,1.25E-12,3,-6.815400000000e-11;-7.101941000000e-11;-6.865966000000e-11
0,-0.29,-0.29,-6.26E-11,7.56E-12,3,-7.321053000000e-11;-5.846241000000e-11;-5.614487000000e-11
0,-0.28,-0.28,-5.69E-11,3.23E-12,3,-6.145422000000e-11;-5.483854000000e-11;-5.437505000000e-11
0,-0.27,-0.27,-6.87E-11,6.34E-12,3,-7.114583000000e-11;-7.489603000000e-11;-5.997935000000e-11
0,-0.26,-0.26,-6.18E-11,2.93E-12,3,-5.761965000000e-11;-6.398244000000e-11;-6.368747000000e-11
0,-0.25,-0.25,-5.61E-11,4.53E-12,3,-5.117264000000e-11;-5.509136000000e-11;-6.212836000000e-11
0,-0.24,-0.24,-5.80E-11,7.10E-12,3,-5.913663000000e-11;-4.877083000000e-11;-6.604722000000e-11
0,-0.23,-0.23,-6.64E-11,2.91E-12,3,-6.368749000000e-11;-7.047166000000e-11;-6.516233000000e-11
0,-0.22,-0.22,-5.67E-11,6.34E-12,3,-6.297112000000e-11;-4.801227000000e-11;-5.909448000000e-11
0,-0.21,-0.21,-6.03E-11,1.20E-11,3,-6.680568000000e-11;-7.064022000000e-11;-4.341936000000e-11
0,-0.2,-0.2,-5.13E-11,1.13E-11,3,-3.541321000000e-11;-6.111709000000e-11;-5.736687000000e-11
0,-0.19,-0.19,-6.06E-11,5.39E-12,3,-6.575224000000e-11;-5.315314000000e-11;-6.288690000000e-11
0,-0.18,-0.18,-5.03E-11,1.04E-11,3,-4.152317000000e-11;-6.486738000000e-11;-4.451495000000e-11
0,-0.17,-0.17,-5.09E-11,2.22E-12,3,-5.365882000000e-11;-4.822309000000e-11;-5.083557000000e-11
0,-0.16,-0.16,-4.69E-11,7.85E-12,3,-5.530215000000e-11;-3.642454000000e-11;-4.902363000000e-11
0,-0.15,-0.15,-5.79E-11,1.20E-11,3,-4.468347000000e-11;-7.380056000000e-11;-5.530221000000e-11
0,-0.14,-0.14,-5.40E-11,1.30E-11,3,-4.961360000000e-11;-7.165152000000e-11;-4.084899000000e-11
0,-0.13,-0.13,-4.77E-11,1.76E-11,3,-6.979750000000e-11;-2.660661000000e-11;-4.666399000000e-11
0,-0.12,-0.12,-4.52E-11,8.90E-12,3,-3.693028000000e-11;-5.753544000000e-11;-4.105973000000e-11
