LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
2.9,-4.280000,-4.280000,-1.479031333333e-09,5.267188834874e-12,3,-1.473610000000e-09;-1.477318000000e-09;-1.486166000000e-09,402,
2.9,-4.260000,-4.260000,-1.480183000000e-09,3.811270654257e-12,3,-1.482037000000e-09;-1.483639000000e-09;-1.474873000000e-09,402,
2.9,-4.240000,-4.240000,-1.477134666667e-09,1.060722239273e-11,3,-1.478961000000e-09;-1.489116000000e-09;-1.463327000000e-09,402,
2.9,-4.220000,-4.220000,-1.474381333333e-09,2.160121961577e-12,3,-1.473272000000e-09;-1.472471000000e-09;-1.477401000000e-09,402,
2.9,-4.200000,-4.200000,-1.465645000000e-09,4.630279977136e-12,3,-1.459240000000e-09;-1.467668000000e-09;-1.470027000000e-09,402,
2.9,-4.180000,-4.180000,-1.463172333333e-09,9.395033345101e-12,3,-1.468889000000e-09;-1.449927000000e-09;-1.470701000000e-09,402,
2.9,-4.160000,-4.160000,-1.458720333333e-09,6.759582547926e-12,3,-1.450011000000e-09;-1.466488000000e-09;-1.459662000000e-09,402,
2.9,-4.140000,-4.140000,-1.461430666667e-09,1.408649150388e-11,3,-1.458355000000e-09;-1.445923000000e-09;-1.480014000000e-09,402,
2.9,-4.120000,-4.120000,-1.464422666667e-09,2.315476086875e-11,3,-1.486040000000e-09;-1.432313000000e-09;-1.474915000000e-09,402,
2.9,-4.100000,-4.100000,-1.448662333333e-09,1.644532643506e-11,3,-1.438212000000e-09;-1.471881000000e-09;-1.435894000000e-09,402,
2.9,-4.080000,-4.080000,-1.459323666667e-09,1.022976775016e-11,3,-1.465434000000e-09;-1.444912000000e-09;-1.467625000000e-09,402,
2.9,-4.060000,-4.060000,-1.446429000000e-09,7.633852107554e-12,3,-1.440656000000e-09;-1.441415000000e-09;-1.457216000000e-09,402,
2.9,-4.040000,-4.040000,-1.439686666667e-09,2.495045267904e-12,3,-1.436863000000e-09;-1.439266000000e-09;-1.442931000000e-09,402,
2.9,-4.020000,-4.020000,-1.443535666667e-09,3.421519577939e-12,3,-1.438760000000e-09;-1.446598000000e-09;-1.445249000000e-09,402,
2.9,-4.000000,-4.000000,-1.426904666667e-09,2.607595614525e-12,3,-1.428056000000e-09;-1.423295000000e-09;-1.429363000000e-09,402,
2.9,-3.980000,-3.980000,-1.422648666667e-09,6.048724622229e-12,3,-1.414867000000e-09;-1.429616000000e-09;-1.423463000000e-09,402,
2.9,-3.960000,-3.960000,-1.424742000000e-09,1.093581577509e-12,3,-1.425318000000e-09;-1.423211000000e-09;-1.425697000000e-09,402,
2.9,-3.940000,-3.940000,-1.419418333333e-09,6.030543609180e-12,3,-1.415626000000e-09;-1.427930000000e-09;-1.414699000000e-09,402,
2.9,-3.920000,-3.920000,-1.428548000000e-09,1.889290519393e-12,3,-1.430500000000e-09;-1.425992000000e-09;-1.429152000000e-09,402,
2.9,-3.900000,-3.900000,-1.412830333333e-09,1.469706849076e-12,3,-1.411327000000e-09;-1.414825000000e-09;-1.412339000000e-09,402,
2.9,-3.880000,-3.880000,-1.418041333333e-09,7.158865894043e-12,3,-1.414782000000e-09;-1.427972000000e-09;-1.411370000000e-09,402,
2.9,-3.860000,-3.860000,-1.409220000000e-09,2.112288963818e-12,3,-1.406481000000e-09;-1.411622000000e-09;-1.409557000000e-09,402,
2.9,-3.840000,-3.840000,-1.406256666667e-09,3.369773615871e-12,3,-1.410906000000e-09;-1.404838000000e-09;-1.403026000000e-09,402,
2.9,-3.820000,-3.820000,-1.400090000000e-09,4.525073038085e-12,3,-1.402815000000e-09;-1.403742000000e-09;-1.393713000000e-09,402,
2.9,-3.800000,-3.800000,-1.401059333333e-09,5.048429612816e-12,3,-1.407029000000e-09;-1.394683000000e-09;-1.401466000000e-09,402,
2.9,-3.780000,-3.780000,-1.395637000000e-09,7.378353881456e-12,3,-1.392574000000e-09;-1.405807000000e-09;-1.388530000000e-09,402,
2.9,-3.760000,-3.760000,-1.389681666667e-09,6.162430923661e-12,3,-1.381998000000e-09;-1.389962000000e-09;-1.397085000000e-09,402,
2.9,-3.740000,-3.740000,-1.386998333333e-09,7.406997157343e-12,3,-1.392996000000e-09;-1.376562000000e-09;-1.391437000000e-09,402,
2.9,-3.720000,-3.720000,-1.383613333333e-09,9.688203560115e-12,3,-1.374118000000e-09;-1.396915000000e-09;-1.379807000000e-09,402,
2.9,-3.700000,-3.700000,-1.389232000000e-09,2.047568022476e-11,3,-1.397716000000e-09;-1.361013000000e-09;-1.408967000000e-09,402,
2.9,-3.680000,-3.680000,-1.380677666667e-09,1.620828307447e-11,3,-1.401930000000e-09;-1.362614000000e-09;-1.377489000000e-09,402,
2.9,-3.660000,-3.660000,-1.381464000000e-09,1.765104030928e-11,3,-1.399738000000e-09;-1.357600000000e-09;-1.387054000000e-09,402,
2.9,-3.640000,-3.640000,-1.367277000000e-09,1.147000322581e-11,3,-1.356546000000e-09;-1.383177000000e-09;-1.362108000000e-09,402,
2.9,-3.620000,-3.620000,-1.364341333333e-09,1.450556657134e-11,3,-1.362066000000e-09;-1.383135000000e-09;-1.347823000000e-09,402,
2.9,-3.600000,-3.600000,-1.366701666667e-09,4.767711284137e-12,3,-1.373402000000e-09;-1.364004000000e-09;-1.362699000000e-09,402,
2.9,-3.580000,-3.580000,-1.367488666667e-09,1.699725039202e-11,3,-1.381114000000e-09;-1.343526000000e-09;-1.377826000000e-09,402,
2.9,-3.560000,-3.560000,-1.356208666667e-09,1.496781565745e-11,3,-1.346307000000e-09;-1.377362000000e-09;-1.344957000000e-09,402,
2.9,-3.540000,-3.540000,-1.376323333333e-09,1.586404110630e-11,3,-1.373528000000e-09;-1.358443000000e-09;-1.396999000000e-09,402,
2.9,-3.520000,-3.520000,-1.344353666667e-09,1.885714676780e-11,3,-1.340238000000e-09;-1.369230000000e-09;-1.323593000000e-09,402,
2.9,-3.500000,-3.500000,-1.359046333333e-09,1.967663604944e-11,3,-1.371589000000e-09;-1.331263000000e-09;-1.374287000000e-09,402,
2.9,-3.480000,-3.480000,-1.342738666667e-09,2.158844098638e-11,3,-1.334213000000e-09;-1.372390000000e-09;-1.321613000000e-09,402,
2.9,-3.460000,-3.460000,-1.348525666667e-09,1.930884575065e-11,3,-1.364510000000e-09;-1.321360000000e-09;-1.359707000000e-09,402,
2.9,-3.440000,-3.440000,-1.349480333333e-09,1.480459524007e-11,3,-1.359116000000e-09;-1.328565000000e-09;-1.360760000000e-09,402,
2.9,-3.420000,-3.420000,-1.335378333333e-09,1.594554805859e-11,3,-1.326164000000e-09;-1.357810000000e-09;-1.322161000000e-09,402,
2.9,-3.400000,-3.400000,-1.337106333333e-09,1.324792870183e-11,3,-1.347950000000e-09;-1.318453000000e-09;-1.344916000000e-09,402,
2.9,-3.380000,-3.380000,-1.346868333333e-09,2.302548157055e-11,3,-1.358822000000e-09;-1.314660000000e-09;-1.367123000000e-09,402,
2.9,-3.360000,-3.360000,-1.334100000000e-09,1.044265879298e-11,3,-1.342850000000e-09;-1.319422000000e-09;-1.340028000000e-09,402,
2.9,-3.340000,-3.340000,-1.332021000000e-09,2.831795342181e-11,3,-1.351068000000e-09;-1.291989000000e-09;-1.353006000000e-09,402,
2.9,-3.320000,-3.320000,-1.319436000000e-09,9.296304032607e-12,3,-1.322835000000e-09;-1.328735000000e-09;-1.306738000000e-09,402,
2.9,-3.300000,-3.300000,-1.331515333333e-09,1.723132870352e-11,3,-1.338552000000e-09;-1.307792000000e-09;-1.348202000000e-09,402,
2.9,-3.280000,-3.280000,-1.313438000000e-09,1.600374514502e-11,3,-1.302524000000e-09;-1.336066000000e-09;-1.301724000000e-09,402,
2.9,-3.260000,-3.260000,-1.321837333333e-09,5.151814006305e-12,3,-1.327428000000e-09;-1.323088000000e-09;-1.314996000000e-09,402,
2.9,-3.240000,-3.240000,-1.310488000000e-09,1.994766313799e-11,3,-1.307496000000e-09;-1.336277000000e-09;-1.287691000000e-09,402,
2.9,-3.220000,-3.220000,-1.297691666667e-09,1.783046438605e-11,3,-1.279937000000e-09;-1.322076000000e-09;-1.291062000000e-09,402,
2.9,-3.200000,-3.200000,-1.311836000000e-09,2.053175951220e-11,3,-1.326669000000e-09;-1.282802000000e-09;-1.326037000000e-09,402,
2.9,-3.180000,-3.180000,-1.293885333333e-09,1.277289125018e-11,3,-1.285753000000e-09;-1.311920000000e-09;-1.283983000000e-09,402,
2.9,-3.160000,-3.160000,-1.317005666667e-09,2.467963274083e-11,3,-1.330209000000e-09;-1.282424000000e-09;-1.338384000000e-09,402,
2.9,-3.140000,-3.140000,-1.305712333333e-09,1.680460338386e-11,3,-1.316936000000e-09;-1.281959000000e-09;-1.318242000000e-09,402,
2.9,-3.120000,-3.120000,-1.295964000000e-09,1.863309852565e-11,3,-1.269613000000e-09;-1.309055000000e-09;-1.309224000000e-09,402,
2.9,-3.100000,-3.100000,-1.274571666667e-09,2.961638468071e-11,3,-1.248797000000e-09;-1.316050000000e-09;-1.258868000000e-09,402,
2.9,-3.080000,-3.080000,-1.283224000000e-09,8.702089442580e-12,3,-1.279895000000e-09;-1.274628000000e-09;-1.295149000000e-09,402,
2.9,-3.060000,-3.060000,-1.285513666667e-09,2.593872052015e-11,3,-1.272647000000e-09;-1.321697000000e-09;-1.262197000000e-09,402,
