LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
14.0,-0.720000,-0.720000,-2.527658666667e-10,1.484024582688e-11,3,-2.634695000000e-10;-2.630481000000e-10;-2.317800000000e-10
14.0,-0.710000,-0.710000,-2.833456000000e-10,5.367920615254e-11,3,-2.393231000000e-10;-3.589171000000e-10;-2.517966000000e-10
14.0,-0.700000,-0.700000,-2.656466333333e-10,2.261844775787e-11,3,-2.861830000000e-10;-2.341397000000e-10;-2.766172000000e-10
14.0,-0.690000,-0.690000,-2.469504666667e-10,9.424915645010e-12,3,-2.429050000000e-10;-2.599718000000e-10;-2.379746000000e-10
14.0,-0.680000,-0.680000,-2.587496666667e-10,1.099923342672e-11,3,-2.668827000000e-10;-2.661664000000e-10;-2.431999000000e-10
14.0,-0.670000,-0.670000,-2.493383000000e-10,9.358072814777e-12,3,-2.553784000000e-10;-2.361203000000e-10;-2.565162000000e-10
14.0,-0.660000,-0.660000,-2.479055666667e-10,1.639434643067e-12,3,-2.458126000000e-10;-2.480882000000e-10;-2.498159000000e-10
14.0,-0.650000,-0.650000,-2.344207333333e-10,1.335307475811e-11,3,-2.192643000000e-10;-2.517544000000e-10;-2.322435000000e-10
14.0,-0.640000,-0.640000,-2.294060333333e-10,8.620584024041e-12,3,-2.224669000000e-10;-2.415565000000e-10;-2.241947000000e-10
14.0,-0.630000,-0.630000,-2.339149666667e-10,1.153132680725e-11,3,-2.501951000000e-10;-2.249532000000e-10;-2.265966000000e-10
14.0,-0.620000,-0.620000,-2.237311333333e-10,1.808677964561e-11,3,-2.382695000000e-10;-1.982363000000e-10;-2.346876000000e-10
14.0,-0.610000,-0.610000,-2.410366666667e-10,1.119760862724e-11,3,-2.463604000000e-10;-2.254588000000e-10;-2.512908000000e-10
14.0,-0.600000,-0.600000,-2.046275333333e-10,1.423575671665e-11,3,-2.025346000000e-10;-2.230147000000e-10;-1.883333000000e-10
14.0,-0.590000,-0.590000,-2.174943666667e-10,1.255121500422e-11,3,-2.312320000000e-10;-2.203599000000e-10;-2.008912000000e-10
14.0,-0.580000,-0.580000,-2.206548666667e-10,2.950005516756e-12,3,-2.164830000000e-10;-2.227619000000e-10;-2.227197000000e-10
14.0,-0.570000,-0.570000,-2.106676333333e-10,9.406988002662e-12,3,-2.067065000000e-10;-2.016496000000e-10;-2.236468000000e-10
14.0,-0.560000,-0.560000,-1.985172000000e-10,1.285795597830e-11,3,-1.857206000000e-10;-2.161037000000e-10;-1.937273000000e-10
14.0,-0.550000,-0.550000,-1.903841666667e-10,1.320319582736e-11,3,-1.736685000000e-10;-2.059480000000e-10;-1.915360000000e-10
14.0,-0.540000,-0.540000,-1.909460000000e-10,1.194540950519e-11,3,-2.067064000000e-10;-1.777983000000e-10;-1.883333000000e-10
14.0,-0.530000,-0.530000,-1.874765000000e-10,1.187377037536e-11,3,-1.727415000000e-10;-2.018182000000e-10;-1.878698000000e-10
14.0,-0.520000,-0.520000,-1.717722333333e-10,9.146647599105e-12,3,-1.732893000000e-10;-1.821387000000e-10;-1.598887000000e-10
14.0,-0.510000,-0.510000,-1.664625666667e-10,8.066078584762e-12,3,-1.696652000000e-10;-1.743428000000e-10;-1.553797000000e-10
14.0,-0.500000,-0.500000,-1.600572333333e-10,8.285515709290e-12,3,-1.708451000000e-10;-1.507021000000e-10;-1.586245000000e-10
