
Integration time [ms]:  60.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 261.39;    1.750;  -39.000;    0.000
 261.99;  -20.350;  -25.000;    0.000
 262.60;    3.100;  -15.000;    0.000
 263.20;   -7.150;   -7.000;    0.000
 263.80;  -10.400;  -12.000;    0.000
 264.40;  -10.250;    4.000;    0.000
 265.00;   -3.950;  -70.000;    0.000
 265.60;   -8.550;  -64.000;    0.000
 266.20;  -18.800;    1.000;    0.000
 266.81;  -10.000;  -25.000;    0.000
 267.41;   -3.150;  -31.000;    0.000
 268.01;   -1.350;   16.000;    0.000
 268.61;  -16.150;   17.000;    0.000
 269.21;   -8.400;   10.000;    0.000
 269.81;   -4.050;   22.000;    0.000
 270.41;   -4.450;  -64.000;    0.000
 271.01;   -3.850;    9.000;    0.000
 271.62;   -0.050;  -28.000;    0.000
 272.22;    1.300;  -18.000;    0.000
 272.82;   -3.300;   -4.000;    0.000
 273.42;   -7.150;   17.000;    0.000
 274.02;   -1.050;    6.000;    0.000
 274.62;   -4.050;  -37.000;    0.000
 275.22;   -9.550;  -14.000;    0.000
 275.82;   -9.150;   17.000;    0.000
 276.42;  -10.150;   -6.000;    0.000
 277.02;   -6.200;   32.000;    0.000
 277.63;   -0.400;  -17.000;    0.000
 278.23;   -5.650;   12.000;    0.000
 278.83;    0.000;  -16.000;    0.000
 279.43;   -3.500;  -24.000;    0.000
 280.03;  -10.600;    9.000;    0.000
 280.63;    3.450;   28.000;    0.000
 281.23;  -14.400;   -5.000;    0.000
 281.83;  -17.700;   25.000;    0.000
 282.43;  151.100;   53.000;    0.000
 283.03;   11.550;  -29.000;    0.000
 283.63;  -20.250;  -33.000;    0.000
 284.23;    1.700;  -34.000;    0.000
 284.83;   -8.950;   -6.000;    0.000
 285.43;    3.800;  -37.000;    0.000
 286.03;    0.100;  -21.000;    0.000
 286.63;  -11.450;  -28.000;    0.000
 287.23;  -10.500;   44.000;    0.000
 287.84;  -14.700;   14.000;    0.000
 288.44;   -6.750;  -19.000;    0.000
 289.04;  -12.250;  -14.000;    0.000
 289.64;   -4.450;    7.000;    0.000
 290.24;   -5.700;    3.000;    0.000
 290.84;   -2.600;  -68.000;    0.000
 291.44;  -11.750;    3.000;    0.000
 292.04;   -0.250;  -64.000;    0.000
 292.64;   -4.250;    0.000;    0.000
 293.24;   -4.000;   -7.000;    0.000
 293.84;   -8.200;   -3.000;    0.000
 294.44;  -11.350;  -25.000;    0.000
 295.04;  -12.450;   43.000;    0.000
 295.64;   -9.600;   13.000;    0.000
 296.24;   -5.400;   11.000;    0.000
 296.84;  -13.800;  -20.000;    0.000
 297.44;   -6.150;   24.000;    0.000
 298.04;    1.350;  -17.000;    0.000
 298.64;   -5.200;  -25.000;    0.000
 299.24;   -9.750;   -7.000;    0.000
 299.84;   -0.050;  -49.000;    0.000
 300.44;   -6.450;  -31.000;    0.000
 301.04;  -12.850;  -18.000;    0.000
 301.64;  -10.650;  -27.000;    0.000
 302.24;   -8.800;   11.000;    0.000
 302.83;   -3.900;   29.000;    0.000
 303.43;   -1.900;   -3.000;    0.000
 304.03;   -6.200;   18.000;    0.000
 304.63;  -14.050;   15.000;    0.000
 305.23;    3.700;   -7.000;    0.000
 305.83;  -17.100;  -51.000;    0.000
 306.43;    1.000;  -20.000;    0.000
 307.03;   -2.200;  -44.000;    0.000
 307.63;   -6.650;  -53.000;    0.000
 308.23;   -0.700;    1.000;    0.000
 308.83;   -2.350;  -18.000;    0.000
 309.43;   -5.200;  -25.000;    0.000
 310.03;    2.000;  -47.000;    0.000
 310.63;   -6.200;  -38.000;    0.000
 311.23;  -10.200;   10.000;    0.000
 311.83;   -7.350;   10.000;    0.000
 312.43;   -6.250;  -27.000;    0.000
 313.02;   -2.850;  -25.000;    0.000
 313.62;  -10.100;   12.000;    0.000
 314.22;    2.350;   -8.000;    0.000
 314.82;    3.950;  -16.000;    0.000
 315.42;  -12.600;  -11.000;    0.000
 316.02;   -1.800;   23.000;    0.000
 316.62;  -20.600;  -17.000;    0.000
 317.22;   -9.450;  -41.000;    0.000
 317.82;   -7.000;  -19.000;    0.000
 318.42;   12.550;  -10.000;    0.000
 319.01;  -10.350;    2.000;    0.000
 319.61;  -10.900;   -7.000;    0.000
 320.21;  -11.150;    6.000;    0.000
 320.81;    0.400;    8.000;    0.000
 321.41;    3.550;   -4.000;    0.000
 322.01;   -6.000;  -22.000;    0.000
 322.61;   -1.600;  -37.000;    0.000
 323.21;   -2.350;  -10.000;    0.000
 323.80;  -17.000;  -23.000;    0.000
 324.40;  -11.250;    7.000;    0.000
 325.00;   -7.500;   16.000;    0.000
 325.60;  -15.800;  -45.000;    0.000
 326.20;   -1.900;   -8.000;    0.000
 326.80;  -12.100;  -22.000;    0.000
 327.40;    3.950;  -26.000;    0.000
 327.99;   -9.650;  -27.000;    0.000
