# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 16
# task1 B = 250 mT
# Ip (mA) T(°C)	Uh(mV)	Up(mV)
-31 22.9	59	-1519
-25 23.0	48	-1229
-20 23.0	38	-982
-14 22.8	30	-756
-10 22.9	21	-520
-4 23.0	10	-246
0 22.9	2	-21
8 23.1	-12	331
12 22.9	-18	491
14 23.0	-22	595
20 23.1	-32	875
26 23.1	-43	1172
30 23.2	-49	1329
