# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 24
# Ip = 30 mA. B = 300
# T(°C)	Uh(mV)	Up(mV)
142.4	-1	433
140.0	-1	428
136.7	-2	458
136.2	-2	465
134.7	-2	477
133.6	-2	494
132.8	-2	503
131.9	-2	515
130.7	-2	532
129.6	-2	549
128.5	-2	563
128.2	-2	578
126.9	-2	594
125.9	-2	610
124.9	-2	627
123.6	-2	647
122.8	-1	668
121.8	-1	685
120.9	-1	704
118.8	-1	750
116.3	0	796
114.8	0	838
112.8	1	886
110.8	2	943
108.7	3	1001
106.7	4	1055
104.6	5	1111
102.8	6	1168
100.5	9	1237
98.9	10	1291
96.8	13	1352
95.0	15	1408
93.0	18	1471
90.8	21	1529
85.7	28	1653
81.0	35	1745
74.2	44	1826
70.7	48	1846
65.6	52	1852
60.9	56	1838
55.8	58	1810
51.0	59	1772
