# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 24
# Ip = 30 mA
# B (mT) T(°C)	Uh(mV)	Up(mV)
303 24.4	61	1522
282 24.3	57	1518
257 24.3	53	1512
231 24.5	48	1506
201 24.7	41	1502
164 24.4	34	1495
130 24.6	28	1492
98 24.5	21	1488
69 24.5	16	1484
41 24.6	10	1485
10 24.6	3	1483
9 24.8	3	1485
-28 24.7	-7	1484
-52 24.9	-13	1486
-80 24.8	-20	1489
-96 24.7	-24	1491
-130 24.9	-31	1495
-150 24.7	-34	1498
-192 24.7	-41	1502
-205 24.7	-43	1503
-211 24.7	-47	1508
-232 25.0	-52	1515
-260 24.7	-57	1520
-277 24.8	-60	1525
-302 24.8	-64	1530
