# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 22 task 1
# Task 2 Up(B) at I = 30 mA
# B(mT) T(°C)	Uh(mV)	Up(mV)
8 20.6	-16	1307
48 20.6	-7	1308
102 20.6	3	1311
154 20.8	12	1315
200 20.6	21	1321
222 20.8	25	1325
246 20.7	29	1329
262 20.8	32	1331
281 20.3	35	1334
304 20.7	39	1340
