# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 16
# task5 Ip = 30 mA B = 299
# T(°C)	Uh(mV)	Up(mV)
141.7	-5	381
140.8	-5	378
138.4	-6	392
137.8	-6	400
136.5	-6	408
135.8	-6	417
134.7	-6	426
133.7	-6	437
132.6	-7	445
131.5	-7	455
130.7	-7	466
129.6	-7	476
128.4	-8	488
127.6	-8	498
126.7	-8	510
125.5	-8	524
124.6	-9	533
123.4	-9	549
122.9	-9	556
121.4	-10	573
120.8	-10	584
118.4	-11	615
116.2	-11	646
114.5	-12	676
112.3	-13	710
110.1	-14	748
108.5	-15	770
106.7	-16	803
104.3	-17	847
102.5	-18	881
100.4	-19	918
95.2	-23	1019
90.0	-27	1114
85.8	-31	1210
79.1	-36	1304
75.9	-40	1359
71.6	-44	1418
66.0	-47	1454
60.8	-50	1471
55.8	-53	1474
50.5	-54	1465
