# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 15
# yask3 B = 249 mT
# Ia(mA) T(°C)	Uh(mV)	Up(mV)
30 21.5	-48	1264
26 21.5	-40	1072
20 21.4	-30	818
14 21.4	-21	576
10 21.2	-15	409
2 21.3	-1	58
-6 21.3	14	-359
-10 21.1	21	-525
-16 21.0	33	-844
-20 21.1	40	-1032
-26 21.1	47	-1242
-31 21.2	56	-1481
