# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 24
# Ip = 30 mA
# B (mT) T(°C)	Uh(mV)	Up(mV)
303 24.4	61	1522
282 24.3	57	1518
257 24.3	53	1512
231 24.5	48	1506
201 24.7	41	1502
164 24.4	34	1495
130 24.6	28	1492
98 24.5	21	1488
69 24.5	16	1484
41 24.6	10	1485
10 24.6	3	1483
