# Press Shift+Enter to add data
# Press Ctrl+S to save

# Ip(mA) T(°C)	Uh(mV)	Up(mV)
# sample 21
# Task 1 Uh(Ip) at B = 250 mT
-30 24.9	-16	-1564
-25 25.1	-13	-1325
-20 25.1	-11	-1069
-15 24.8	-8	-822
-10 24.6	-6	-605
-5 24.7	-3	-326
0 24.7	0	-22
6 24.7	2	218
10 24.7	5	454
15 24.6	7	664
20 24.8	9	872
25 24.6	12	1158
30 24.9	14	1387
