# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 24
# B = 250 mT
# Ip (mA) T(°C)	Uh(mV)	Up(mV)
29 22.9	51	1473
20 22.9	34	1005
24 23.0	42	1236
14 23.2	23	667
10 23.1	16	460
4 23.0	7	195
0 23.1	0	-25
-4 23.0	-10	-314
-10 23.1	-20	-631
-15 23.2	-30	-928
-20 23.3	-40	-1208
-25 23.4	-47	-1428
-30 23.5	-57	-1748
