# Press Shift+Enter to add data
# Press Ctrl+S to save

# T(°C)	Uh(mV)	Up(mV)
# sample 21
# Task 4 Uh(B) at I = 30 mA 
-300 28.9	-97	1436
-252 28.9	-88	1424
-200 28.7	-79	1416
-152 28.9	-65	1404
-102 28.7	-55	1399
-54 28.7	-45	1395
-8 28.9	-36	1393
40 28.8	-26	1392
99 28.8	-15	1396
149 28.6	-6	1399
200 28.5	4	1406
250 28.8	13	1415
300 28.6	22	1424
