# Press Shift+Enter to add data
# Press Ctrl+S to save
# sample 16
# task0 zero B = 0 mT
# Ip (mA) T(°C)	Uh(mV)	Up(mV)
29 21.4	1	1274
24 21.5	1	1009
20 21.5	1	829
15 21.4	1	626
10 21.3	1	413
5 21.4	1	208
0 21.3	1	-28
-5 21.2	1	-307
-10 21.2	1	-565
-16 21.3	1	-837
-20 21.3	1	-1033
-25 21.4	1	-1223
-31 21.7	1	-1477
