Address:,USB0::0x0957::0x179B::MY58106372::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY58106372,,-0.0261,-0.441582795232534,-0.0388756506145,
Firmware Version:,02.65.2021030741,,-0.026042,-0.401381783187389,-0.0388756506145,
Start Time:,2024-09-16 12:57:59.088,,-0.025984,-0.441582795232534,-0.0629962561652064,
,,,-0.025926,-0.441582795232534,-0.0509359533898532,
Analog Sample Count:,1000,,-0.025868,-0.401381783187389,-0.0589761552400887,
Function Sample Count:,0,,-0.02581,-0.441582795232534,-0.0469158524647355,
Waveform Memory Sample Count:,0,,-0.025752,-0.441582795232534,-0.0509359533898532,
Digital Sample Count:,0,,-0.025694,-0.441582795232534,-0.0670163570903242,
,,,-0.025636,-0.401381783187389,-0.0629962561652064,
Setup Text Information:,,,-0.025578,-0.481783807277679,-0.054956054314971,
ANALOG,,,-0.02552,-0.401381783187389,-0.0509359533898532,
Channel 1,,,-0.025462,-0.401381783187389,-0.054956054314971,
Scale,1 V/,,-0.025404,-0.401381783187389,-0.0589761552400887,
Pos,-1.125 V,,-0.025346,-0.401381783187389,-0.0469158524647355,
Coup,,,-0.025288,-0.441582795232534,-0.0670163570903242,
BW,Off,,-0.02523,-0.401381783187389,-0.0469158524647355,
Inv,Off,,-0.025172,-0.401381783187389,-0.0670163570903242,
Imp,1M Ohm,,-0.025114,-0.361180771142244,-0.0629962561652064,
Trace Label,1,,-0.025056,-0.401381783187389,-0.054956054314971,
Probe,1,,-0.024998,-0.361180771142244,-0.0469158524647355,
Skew,0 s,,-0.02494,-0.401381783187389,-0.0509359533898532,
,,,-0.024882,-0.361180771142244,-0.0589761552400887,
Channel 2,,,-0.024824,-0.320979759097099,-0.0589761552400887,
Scale,100 mV/,,-0.024766,-0.320979759097099,-0.0509359533898532,
Pos,186.25 mV,,-0.024708,-0.320979759097099,-0.0589761552400887,
Coup,,,-0.02465,-0.320979759097099,-0.0428957515396178,
BW,Off,,-0.024592,-0.280778747051954,-0.0469158524647355,
Inv,Off,,-0.024534,-0.361180771142244,-0.0428957515396178,
Imp,1M Ohm,,-0.024476,-0.320979759097099,-0.054956054314971,
Trace Label,2,,-0.024418,-0.280778747051954,-0.0469158524647355,
Probe,1,,-0.02436,-0.320979759097099,-0.0428957515396178,
Skew,0 s,,-0.024302,-0.280778747051954,-0.0469158524647355,
,,,-0.024244,-0.320979759097099,-0.0388756506145,
MATH,,,-0.024186,-0.240577735006809,-0.0509359533898532,
REFERENCE WAVEFORM,,,-0.024128,-0.240577735006809,-0.054956054314971,
TRIGGER,,,-0.02407,-0.240577735006809,-0.054956054314971,
Sweep Mode,AUTO,,-0.024012,-0.240577735006809,-0.0469158524647355,
Coup,DC,,-0.023954,-0.240577735006809,-0.0388756506145,
Noise Rej,Off,,-0.023896,-0.240577735006809,-0.0308354487642646,
HF Rej,Off,,-0.023838,-0.200376722961664,-0.0268153478391469,
Holdoff,40.0 ns,,-0.02378,-0.200376722961664,-0.0348555496893823,
Mode,EDGE,,-0.023722,-0.200376722961664,-0.0308354487642646,
Source,CHAN1,,-0.023664,-0.200376722961664,-0.0348555496893823,
Slope,POS,,-0.023606,-0.200376722961664,-0.0308354487642646,
Level,356.25 mV V,,-0.023548,-0.200376722961664,-0.0308354487642646,
,,,-0.02349,-0.160175710916519,-0.0388756506145,
HORIZONTAL,,,-0.023432,-0.160175710916519,-0.0308354487642646,
Mode,MAIN,,-0.023374,-0.160175710916519,-0.0428957515396178,
Ref,CENT,,-0.023316,-0.119974698871374,-0.0428957515396178,
Main Scale,5.8 ms/,,-0.023258,-0.160175710916519,-0.0308354487642646,
Main Delay,2.88 ms,,-0.0232,-0.119974698871374,-0.0348555496893823,
,,,-0.023142,-0.119974698871374,-0.0348555496893823,
ACQUISITION,,,-0.023084,-0.160175710916519,-0.0268153478391469,
Mode,NORM,,-0.023026,-0.0797736868262291,-0.0227952469140291,
RealTime,On,,-0.022968,-0.119974698871374,-0.0227952469140291,
Vectors,On,,-0.02291,-0.0797736868262291,-0.0308354487642646,
Persistence,Off,,-0.022852,-0.0797736868262291,-0.0388756506145,
,,,-0.022794,-0.0797736868262291,-0.0308354487642646,
,,,-0.022736,-0.0797736868262291,-0.0187751459889114,
,,,-0.022678,-0.0395726747810841,-0.0268153478391469,
,,,-0.02262,-0.0797736868262291,-0.0348555496893823,
,,,-0.022562,-0.0395726747810841,-0.0268153478391469,
,,,-0.022504,-0.0395726747810841,-0.0308354487642646,
,,,-0.022446,-0.0395726747810841,-0.0268153478391469,
,,,-0.022388,-0.0797736868262291,-0.0227952469140291,
,,,-0.02233,0.000628337264060974,-0.0268153478391469,
,,,-0.022272,-0.0395726747810841,-0.0187751459889114,
,,,-0.022214,0.000628337264060974,-0.0227952469140291,
,,,-0.022156,-0.0395726747810841,-0.0308354487642646,
,,,-0.022098,0.000628337264060974,-0.0187751459889114,
,,,-0.02204,0.000628337264060974,-0.0107349441386759,
,,,-0.021982,0.000628337264060974,-0.0227952469140291,
,,,-0.021924,0.000628337264060974,-0.0147550450637937,
,,,-0.021866,0.081030361354351,-0.0227952469140291,
,,,-0.021808,0.081030361354351,-0.0187751459889114,
,,,-0.02175,0.040829349309206,-0.0107349441386759,
