Address:,USB0::0x0957::0x179B::MY58106372::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY58106372,,-0.0261,0.000628337264060974,-0.0227952469140291,
Firmware Version:,02.65.2021030741,,-0.026042,-0.0395726747810841,-0.0107349441386759,
Start Time:,2024-09-16 12:58:49.706,,-0.025984,0.000628337264060974,-0.0227952469140291,
,,,-0.025926,-0.0395726747810841,-0.0147550450637937,
Analog Sample Count:,1000,,-0.025868,-0.0395726747810841,-0.0227952469140291,
Function Sample Count:,0,,-0.02581,-0.0395726747810841,-0.0268153478391469,
Waveform Memory Sample Count:,0,,-0.025752,-0.0395726747810841,-0.0187751459889114,
Digital Sample Count:,0,,-0.025694,-0.0797736868262291,-0.0107349441386759,
,,,-0.025636,0.000628337264060974,-0.0067148432135582,
Setup Text Information:,,,-0.025578,-0.0395726747810841,-0.00269474228844047,
ANALOG,,,-0.02552,-0.0395726747810841,-0.0107349441386759,
Channel 1,,,-0.025462,-0.0395726747810841,-0.0187751459889114,
Scale,1 V/,,-0.025404,-0.0395726747810841,-0.0067148432135582,
Pos,-1.125 V,,-0.025346,-0.0797736868262291,-0.0147550450637937,
Coup,,,-0.025288,0.000628337264060974,-0.0187751459889114,
BW,Off,,-0.02523,-0.0395726747810841,-0.0107349441386759,
Inv,Off,,-0.025172,-0.0395726747810841,-0.00269474228844047,
Imp,1M Ohm,,-0.025114,-0.0797736868262291,-0.0268153478391469,
Trace Label,1,,-0.025056,-0.0395726747810841,-0.0147550450637937,
Probe,1,,-0.024998,-0.0797736868262291,-0.0227952469140291,
Skew,0 s,,-0.02494,0.000628337264060974,-0.00269474228844047,
,,,-0.024882,-0.0797736868262291,-0.0147550450637937,
Channel 2,,,-0.024824,-0.0797736868262291,-0.00269474228844047,
Scale,100 mV/,,-0.024766,-0.0395726747810841,-0.0187751459889114,
Pos,186.25 mV,,-0.024708,-0.0797736868262291,-0.0187751459889114,
Coup,,,-0.02465,-0.0395726747810841,-0.0147550450637937,
BW,Off,,-0.024592,-0.0797736868262291,-0.00269474228844047,
Inv,Off,,-0.024534,-0.0797736868262291,-0.0067148432135582,
Imp,1M Ohm,,-0.024476,-0.0797736868262291,-0.0147550450637937,
Trace Label,2,,-0.024418,-0.0797736868262291,-0.0187751459889114,
Probe,1,,-0.02436,-0.0797736868262291,-0.0107349441386759,
Skew,0 s,,-0.024302,-0.0395726747810841,-0.00269474228844047,
,,,-0.024244,-0.0797736868262291,-0.0067148432135582,
MATH,,,-0.024186,-0.0395726747810841,-0.0147550450637937,
REFERENCE WAVEFORM,,,-0.024128,-0.0797736868262291,-0.0147550450637937,
TRIGGER,,,-0.02407,-0.0395726747810841,-0.0067148432135582,
Sweep Mode,AUTO,,-0.024012,-0.0797736868262291,-0.0067148432135582,
Coup,DC,,-0.023954,-0.0797736868262291,-0.0227952469140291,
Noise Rej,Off,,-0.023896,-0.0395726747810841,-0.0147550450637937,
HF Rej,Off,,-0.023838,-0.0797736868262291,-0.00269474228844047,
Holdoff,40.0 ns,,-0.02378,0.000628337264060974,-0.0107349441386759,
Mode,EDGE,,-0.023722,-0.0797736868262291,-0.0147550450637937,
Source,CHAN1,,-0.023664,-0.0797736868262291,-0.0147550450637937,
Slope,POS,,-0.023606,-0.0395726747810841,-0.0187751459889114,
Level,356.25 mV V,,-0.023548,-0.0797736868262291,-0.0227952469140291,
,,,-0.02349,-0.0797736868262291,0.00132535863667727,
HORIZONTAL,,,-0.023432,-0.0797736868262291,-0.0107349441386759,
Mode,MAIN,,-0.023374,-0.0797736868262291,0.005345459561795,
Ref,CENT,,-0.023316,-0.0797736868262291,-0.0227952469140291,
