LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,-1.200000,-1.200000,-3.043522000000e-09,3.870731874810e-11,3,-3.017424000000e-09;-3.098243000000e-09;-3.014899000000e-09
12.0,-1.100000,-1.100000,-2.977382333333e-09,1.835620015750e-11,3,-3.003056000000e-09;-2.961218000000e-09;-2.967873000000e-09
12.0,-1.000000,-1.000000,-2.815903333333e-09,3.717744980794e-11,3,-2.815216000000e-09;-2.770718000000e-09;-2.861776000000e-09
12.0,-0.900000,-0.900000,-2.429010000000e-09,4.192546592069e-11,3,-2.391875000000e-09;-2.487607000000e-09;-2.407548000000e-09
12.0,-0.800000,-0.800000,-1.664030666667e-09,4.245079768652e-11,3,-1.620237000000e-09;-1.650365000000e-09;-1.721490000000e-09
12.0,-0.700000,-0.700000,-5.146465333333e-11,2.453196689430e-11,3,-3.631107000000e-11;-8.606926000000e-11;-3.201363000000e-11
12.0,-0.600000,-0.600000,3.008940333333e-09,3.547462351535e-11,3,2.974379000000e-09;3.057714000000e-09;2.994728000000e-09
12.0,-0.500000,-0.500000,8.399512666667e-09,3.702529600452e-11,3,8.434595000000e-09;8.348308000000e-09;8.415635000000e-09
12.0,-0.400000,-0.400000,1.690080000000e-08,4.593140610374e-11,3,1.685035000000e-08;1.696146000000e-08;1.689059000000e-08
12.0,-0.300000,-0.300000,2.969945000000e-08,3.585214173054e-11,3,2.971986000000e-08;2.964905000000e-08;2.972944000000e-08
12.0,-0.200000,-0.200000,4.795285666667e-08,1.728986665330e-11,3,4.796041000000e-08;4.792894000000e-08;4.796922000000e-08
12.0,-0.100000,-0.100000,7.033275666667e-08,2.456841649128e-11,3,7.034301000000e-08;7.035638000000e-08;7.029888000000e-08
12.0,0.000000,0.000000,9.399017666667e-08,3.089949981616e-11,3,9.396503000000e-08;9.397180000000e-08;9.403370000000e-08
12.0,0.100000,0.100000,1.170510666667e-07,3.623380864454e-11,3,1.170444000000e-07;1.170984000000e-07;1.170104000000e-07
12.0,0.200000,0.200000,1.381421333333e-07,2.945146666788e-11,3,1.381333000000e-07;1.381113000000e-07;1.381818000000e-07
12.0,0.300000,0.300000,1.576373000000e-07,1.797683694833e-11,3,1.576148000000e-07;1.576588000000e-07;1.576383000000e-07
12.0,0.400000,0.400000,1.763186000000e-07,2.130352083576e-11,3,1.763276000000e-07;1.762892000000e-07;1.763390000000e-07
12.0,0.500000,0.500000,1.941380666667e-07,3.381521682452e-11,3,1.940993000000e-07;1.941817000000e-07;1.941332000000e-07
12.0,0.600000,0.600000,2.109594000000e-07,2.957172072549e-11,3,2.109413000000e-07;2.110011000000e-07;2.109358000000e-07
12.0,0.700000,0.700000,2.268473333333e-07,1.998238112827e-11,3,2.268659000000e-07;2.268196000000e-07;2.268565000000e-07
12.0,0.800000,0.800000,2.416213666667e-07,2.931033189093e-11,3,2.415813000000e-07;2.416506000000e-07;2.416322000000e-07
12.0,0.900000,0.900000,2.554736000000e-07,2.187068052591e-11,3,2.554669000000e-07;2.555031000000e-07;2.554508000000e-07
12.0,1.000000,1.000000,2.683370333333e-07,2.141188662609e-11,3,2.683590000000e-07;2.683080000000e-07;2.683441000000e-07
12.0,1.100000,1.100000,2.801142666667e-07,1.850951707155e-11,3,2.800900000000e-07;2.801349000000e-07;2.801179000000e-07
12.0,1.200000,1.200000,2.909361000000e-07,3.412486874211e-11,3,2.909435000000e-07;2.908911000000e-07;2.909737000000e-07
12.0,1.300000,1.300000,3.008576666667e-07,2.940026454908e-11,3,3.008959000000e-07;3.008244000000e-07;3.008527000000e-07
12.0,1.400000,1.400000,3.098411333333e-07,4.957192305685e-11,3,3.098734000000e-07;3.097711000000e-07;3.098789000000e-07
12.0,1.500000,1.500000,3.180271666667e-07,3.707850530368e-11,3,3.180692000000e-07;3.179790000000e-07;3.180333000000e-07
12.0,1.600000,1.600000,3.254600333333e-07,2.223110933404e-11,3,3.254507000000e-07;3.254907000000e-07;3.254387000000e-07
12.0,1.700000,1.700000,3.323281333333e-07,3.408443763492e-11,3,3.323633000000e-07;3.322820000000e-07;3.323391000000e-07
12.0,1.800000,1.800000,3.385268333333e-07,3.442715336604e-11,3,3.384966000000e-07;3.385750000000e-07;3.385089000000e-07
12.0,1.900000,1.900000,3.442706333333e-07,2.496775698554e-11,3,3.442963000000e-07;3.442368000000e-07;3.442788000000e-07
12.0,2.000000,2.000000,3.495239666667e-07,5.396000576558e-11,3,3.495411000000e-07;3.494510000000e-07;3.495798000000e-07
12.0,2.100000,2.100000,3.543082666667e-07,2.781130865115e-11,3,3.542803000000e-07;3.543462000000e-07;3.542983000000e-07
12.0,2.200000,2.200000,3.587961000000e-07,1.104747331595e-11,3,3.588104000000e-07;3.587835000000e-07;3.587944000000e-07
12.0,2.300000,2.300000,3.628417666667e-07,3.327925613485e-11,3,3.627958000000e-07;3.628560000000e-07;3.628735000000e-07
12.0,2.400000,2.400000,3.665288000000e-07,3.428857924538e-11,3,3.665178000000e-07;3.664934000000e-07;3.665752000000e-07
12.0,2.500000,2.500000,3.699131000000e-07,1.786747510609e-11,3,3.699204000000e-07;3.698885000000e-07;3.699304000000e-07
12.0,2.600000,2.600000,3.729359000000e-07,7.138627319011e-12,3,3.729331000000e-07;3.729457000000e-07;3.729289000000e-07
12.0,2.700000,2.700000,3.756037000000e-07,2.829805647037e-11,3,3.755946000000e-07;3.756420000000e-07;3.755745000000e-07
12.0,2.800000,2.800000,3.780213333333e-07,3.087764383642e-11,3,3.780295000000e-07;3.779801000000e-07;3.780544000000e-07
12.0,2.900000,2.900000,3.802147000000e-07,1.828277878222e-11,3,3.801949000000e-07;3.802390000000e-07;3.802102000000e-07
12.0,3.000000,3.000000,3.822149333333e-07,3.596890632507e-11,3,3.822587000000e-07;3.821706000000e-07;3.822155000000e-07
12.0,3.100000,3.100000,3.840151666667e-07,2.551108691443e-11,3,3.840480000000e-07;3.839858000000e-07;3.840117000000e-07
