LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,-1.200000,-1.200000,-2.312950666667e-10,6.214228380276e-12,3,-2.309720000000e-10;-2.238509000000e-10;-2.390623000000e-10
12.0,-1.100000,-1.100000,-2.300028666667e-10,5.216242274750e-12,3,-2.229660000000e-10;-2.316041000000e-10;-2.354385000000e-10
12.0,-1.000000,-1.000000,-2.376156000000e-10,2.288450245617e-12,3,-2.343851000000e-10;-2.393994000000e-10;-2.390623000000e-10
12.0,-0.900000,-0.900000,-2.212243666667e-10,7.510087302792e-12,3,-2.297922000000e-10;-2.115048000000e-10;-2.223761000000e-10
12.0,-0.800000,-0.800000,-2.233031333333e-10,8.024238873701e-12,3,-2.276432000000e-10;-2.120526000000e-10;-2.302136000000e-10
12.0,-0.700000,-0.700000,-2.008020333333e-10,1.039969144329e-11,3,-1.908999000000e-10;-2.151707000000e-10;-1.963355000000e-10
12.0,-0.600000,-0.600000,-1.862227000000e-10,4.430971663943e-12,3,-1.823040000000e-10;-1.924168000000e-10;-1.839473000000e-10
12.0,-0.500000,-0.500000,-1.826832000000e-10,5.480162535911e-12,3,-1.874868000000e-10;-1.855485000000e-10;-1.750143000000e-10
12.0,-0.400000,-0.400000,-7.977636666667e-11,7.938058038985e-12,3,-8.712155000000e-11;-6.875154000000e-11;-8.345601000000e-11
12.0,-0.300000,-0.300000,1.957040000000e-10,8.045069955362e-12,3,2.069676000000e-10;1.914626000000e-10;1.886818000000e-10
12.0,-0.200000,-0.200000,7.906936666667e-10,5.410965153792e-12,3,7.833060000000e-10;7.961151000000e-10;7.926599000000e-10
12.0,-0.100000,-0.100000,1.919242666667e-09,3.151063347859e-12,3,1.920478000000e-09;1.914917000000e-09;1.922333000000e-09
12.0,0.000000,0.000000,3.461735666667e-09,5.621370315343e-12,3,3.465753000000e-09;3.453786000000e-09;3.465668000000e-09
12.0,0.100000,0.100000,4.831485333333e-09,1.050789830979e-11,3,4.837903000000e-09;4.816669000000e-09;4.839884000000e-09
12.0,0.200000,0.200000,5.894027000000e-09,5.967068012573e-12,3,5.891273000000e-09;5.902312000000e-09;5.888496000000e-09
12.0,0.300000,0.300000,6.774944666667e-09,3.441349961215e-12,3,6.770758000000e-09;6.774889000000e-09;6.779187000000e-09
12.0,0.400000,0.400000,7.528018666667e-09,8.581266042309e-12,3,7.533159000000e-09;7.515928000000e-09;7.534969000000e-09
12.0,0.500000,0.500000,8.214312333333e-09,2.305206040442e-12,3,8.212726000000e-09;8.212639000000e-09;8.217572000000e-09
12.0,0.600000,0.600000,8.849274333333e-09,5.813743850184e-12,3,8.847630000000e-09;8.843120000000e-09;8.857073000000e-09
12.0,0.700000,0.700000,9.408966666667e-09,4.826533699826e-12,3,9.414656000000e-09;9.402856000000e-09;9.409388000000e-09
12.0,0.800000,0.800000,9.909241000000e-09,8.339413448599e-12,3,9.913806000000e-09;9.897541000000e-09;9.916376000000e-09
12.0,0.900000,0.900000,1.034844000000e-08,7.962097713542e-12,3,1.034479000000e-08;1.035949000000e-08;1.034104000000e-08
12.0,1.000000,1.000000,1.077210333333e-08,9.099158691269e-12,3,1.077295000000e-08;1.076056000000e-08;1.078280000000e-08
12.0,1.100000,1.100000,1.113677333333e-08,7.869486782645e-12,3,1.114511000000e-08;1.112622000000e-08;1.113899000000e-08
12.0,1.200000,1.200000,1.148228000000e-08,3.456211799066e-12,3,1.148672000000e-08;1.147829000000e-08;1.148183000000e-08
12.0,1.300000,1.300000,1.175053000000e-08,6.031008760287e-12,3,1.175903000000e-08;1.174689000000e-08;1.174567000000e-08
12.0,1.400000,1.400000,1.199391666667e-08,5.102269647477e-12,3,1.199543000000e-08;1.199927000000e-08;1.198705000000e-08
12.0,1.500000,1.500000,1.218844333333e-08,4.539877629286e-12,3,1.218899000000e-08;1.219371000000e-08;1.218263000000e-08
12.0,1.600000,1.600000,1.236790333333e-08,3.069053419035e-12,3,1.236380000000e-08;1.236873000000e-08;1.237118000000e-08
12.0,1.700000,1.700000,1.251780333333e-08,1.342617923644e-11,3,1.253647000000e-08;1.250546000000e-08;1.251148000000e-08
12.0,1.800000,1.800000,1.264601333333e-08,1.061383478715e-11,3,1.265920000000e-08;1.264563000000e-08;1.263321000000e-08
12.0,1.900000,1.900000,1.276184333333e-08,6.392351332300e-12,3,1.276141000000e-08;1.276988000000e-08;1.275424000000e-08
12.0,2.000000,2.000000,1.285122666667e-08,8.881626477672e-12,3,1.286186000000e-08;1.284012000000e-08;1.285170000000e-08
12.0,2.100000,2.100000,1.293922666667e-08,1.162302408536e-11,3,1.293778000000e-08;1.292577000000e-08;1.295413000000e-08
12.0,2.200000,2.200000,1.300072333333e-08,1.305161633243e-11,3,1.299132000000e-08;1.301918000000e-08;1.299167000000e-08
12.0,2.300000,2.300000,1.306757666667e-08,1.942751370837e-11,3,1.305836000000e-08;1.309460000000e-08;1.304977000000e-08
12.0,2.400000,2.400000,1.314083666667e-08,1.982399275850e-11,3,1.315936000000e-08;1.311335000000e-08;1.314980000000e-08
12.0,2.500000,2.500000,1.319488666667e-08,1.964658635885e-11,3,1.317890000000e-08;1.322256000000e-08;1.318320000000e-08
12.0,2.600000,2.600000,1.321771000000e-08,2.717670448503e-11,3,1.321004000000e-08;1.325416000000e-08;1.318893000000e-08
12.0,2.700000,2.700000,1.328721666667e-08,2.968252722095e-11,3,1.330606000000e-08;1.324531000000e-08;1.331028000000e-08
12.0,2.800000,2.800000,1.332931666667e-08,2.586937228118e-11,3,1.334921000000e-08;1.329278000000e-08;1.334596000000e-08
12.0,2.900000,2.900000,1.334675333333e-08,2.052610749482e-11,3,1.333051000000e-08;1.337571000000e-08;1.333404000000e-08
12.0,3.000000,3.000000,1.338959000000e-08,2.355192278067e-11,3,1.340563000000e-08;1.335629000000e-08;1.340685000000e-08
12.0,3.100000,3.100000,1.341944666667e-08,3.342171582802e-11,3,1.345247000000e-08;1.337365000000e-08;1.343222000000e-08
12.0,3.200000,3.200000,1.343851333333e-08,1.929129394888e-11,3,1.342150000000e-08;1.346549000000e-08;1.342855000000e-08
12.0,3.300000,3.300000,1.344758666667e-08,2.459584020837e-11,3,1.342845000000e-08;1.348231000000e-08;1.343200000000e-08
12.0,3.400000,3.400000,1.348268000000e-08,2.838085387487e-11,3,1.350147000000e-08;1.344257000000e-08;1.350400000000e-08
12.0,3.500000,3.500000,1.348290333333e-08,2.703799343311e-11,3,1.347088000000e-08;1.352035000000e-08;1.345748000000e-08
12.0,3.600000,3.600000,1.352373666667e-08,2.693312252393e-11,3,1.352928000000e-08;1.355360000000e-08;1.348833000000e-08
