LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
24.0,-1.200000,-1.200000,-2.003131000000e-09,1.815613716259e-11,3,-2.016221000000e-09;-1.977456000000e-09;-2.015716000000e-09
24.0,-1.100000,-1.100000,-1.984620000000e-09,1.567758042556e-11,3,-1.968104000000e-09;-2.005688000000e-09;-1.980068000000e-09
24.0,-1.000000,-1.000000,-1.955054333333e-09,2.171070099180e-11,3,-1.936417000000e-09;-1.985504000000e-09;-1.943242000000e-09
24.0,-0.990000,-0.990000,-1.968397333333e-09,2.212038422411e-11,3,-1.972274000000e-09;-1.939576000000e-09;-1.993342000000e-09
24.0,-0.980000,-0.980000,-1.964577000000e-09,1.758712809604e-11,3,-1.946823000000e-09;-1.988539000000e-09;-1.958369000000e-09
24.0,-0.970000,-0.970000,-1.970504666667e-09,1.325743228868e-11,3,-1.982597000000e-09;-1.952050000000e-09;-1.976867000000e-09
24.0,-0.960000,-0.960000,-1.970982000000e-09,1.657105623268e-11,3,-1.976909000000e-09;-1.948383000000e-09;-1.987654000000e-09
24.0,-0.950000,-0.950000,-1.956107666667e-09,1.144354765311e-11,3,-1.943537000000e-09;-1.971220000000e-09;-1.953566000000e-09
24.0,-0.940000,-0.940000,-1.958902333333e-09,1.798389719227e-11,3,-1.964689000000e-09;-1.934561000000e-09;-1.977457000000e-09
24.0,-0.930000,-0.930000,-1.952652000000e-09,1.419352079882e-11,3,-1.933172000000e-09;-1.966585000000e-09;-1.958199000000e-09
24.0,-0.920000,-0.920000,-1.954815000000e-09,1.808682538940e-11,3,-1.970672000000e-09;-1.964268000000e-09;-1.929505000000e-09
24.0,-0.910000,-0.910000,-1.952357000000e-09,1.546980784194e-11,3,-1.967849000000e-09;-1.931233000000e-09;-1.957989000000e-09
24.0,-0.900000,-0.900000,-1.928058666667e-09,1.849804646142e-11,3,-1.922637000000e-09;-1.952933000000e-09;-1.908606000000e-09
24.0,-0.890000,-0.890000,-1.936584666667e-09,9.814174114797e-12,3,-1.922891000000e-09;-1.941472000000e-09;-1.945391000000e-09
24.0,-0.880000,-0.880000,-1.942863000000e-09,1.886875740477e-11,3,-1.958495000000e-09;-1.916318000000e-09;-1.953776000000e-09
24.0,-0.870000,-0.870000,-1.923662333333e-09,1.456105354094e-11,3,-1.904772000000e-09;-1.940207000000e-09;-1.926008000000e-09
24.0,-0.860000,-0.860000,-1.931921333333e-09,1.201057990089e-11,3,-1.946107000000e-09;-1.916738000000e-09;-1.932919000000e-09
24.0,-0.850000,-0.850000,-1.911584000000e-09,8.620293150468e-12,3,-1.923185000000e-09;-1.909028000000e-09;-1.902539000000e-09
24.0,-0.840000,-0.840000,-1.898578000000e-09,7.310970706183e-12,3,-1.907511000000e-09;-1.889603000000e-09;-1.898620000000e-09
24.0,-0.830000,-0.830000,-1.887496333333e-09,6.256841819605e-12,3,-1.878942000000e-09;-1.893733000000e-09;-1.889814000000e-09
24.0,-0.820000,-0.820000,-1.887538000000e-09,3.449342642688e-12,3,-1.882861000000e-09;-1.888676000000e-09;-1.891077000000e-09
24.0,-0.810000,-0.810000,-1.881709333333e-09,1.046822507507e-11,3,-1.891457000000e-09;-1.867186000000e-09;-1.886485000000e-09
24.0,-0.800000,-0.800000,-1.863955666667e-09,2.802816393479e-11,3,-1.824671000000e-09;-1.879026000000e-09;-1.888170000000e-09
24.0,-0.790000,-0.790000,-1.839700000000e-09,2.853882030965e-11,3,-1.818352000000e-09;-1.880037000000e-09;-1.820711000000e-09
24.0,-0.780000,-0.780000,-1.839981000000e-09,3.094025504097e-11,3,-1.874898000000e-09;-1.799685000000e-09;-1.845360000000e-09
24.0,-0.770000,-0.770000,-1.801384666667e-09,2.274255320368e-11,3,-1.788098000000e-09;-1.833394000000e-09;-1.782662000000e-09
