LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A
12.0,-0.740000,-0.740000,8.743345400000e-11,1.733231904898e-11,5,9.079616000000e-11;6.134113000000e-11;8.961623000000e-11;8.047205000000e-11;1.149417000000e-10
12.0,-0.730000,-0.730000,3.678845400000e-10,6.201686061258e-12,5,3.751073000000e-10;3.684913000000e-10;3.681542000000e-10;3.565241000000e-10;3.711458000000e-10
12.0,-0.720000,-0.720000,6.588787200000e-10,2.048798198334e-11,5,6.388541000000e-10;6.822998000000e-10;6.453438000000e-10;6.853333000000e-10;6.425626000000e-10
12.0,-0.710000,-0.710000,9.939836200000e-10,1.041091236240e-11,5,9.823700000000e-10;1.002006000000e-09;9.802631000000e-10;1.004156000000e-09;1.001123000000e-09
12.0,-0.700000,-0.700000,1.339261600000e-09,1.164248708138e-11,5,1.329679000000e-09;1.351423000000e-09;1.322052000000e-09;1.350749000000e-09;1.342405000000e-09
12.0,-0.690000,-0.690000,1.711052200000e-09,1.745181071866e-11,5,1.727975000000e-09;1.692031000000e-09;1.722245000000e-09;1.687690000000e-09;1.725320000000e-09
12.0,-0.680000,-0.680000,2.121028800000e-09,1.175857626416e-11,5,2.129136000000e-09;2.114051000000e-09;2.135710000000e-09;2.102252000000e-09;2.123995000000e-09
12.0,-0.670000,-0.670000,2.535977600000e-09,8.769096386744e-12,5,2.526884000000e-09;2.531056000000e-09;2.531477000000e-09;2.551789000000e-09;2.538682000000e-09
12.0,-0.660000,-0.660000,2.996917400000e-09,8.906115148593e-12,5,3.001366000000e-09;3.007100000000e-09;2.987756000000e-09;3.003516000000e-09;2.984849000000e-09
12.0,-0.650000,-0.650000,3.479296400000e-09,1.227564433502e-11,5,3.473447000000e-09;3.464768000000e-09;3.500501000000e-09;3.473489000000e-09;3.484277000000e-09
12.0,-0.640000,-0.640000,3.988813000000e-09,8.939367472031e-12,5,4.002500000000e-09;3.989309000000e-09;3.974856000000e-09;3.985771000000e-09;3.991629000000e-09
12.0,-0.630000,-0.630000,4.542929000000e-09,9.890154922952e-12,5,4.535007000000e-09;4.538673000000e-09;4.533068000000e-09;4.548113000000e-09;4.559784000000e-09
12.0,-0.620000,-0.620000,5.121325800000e-09,1.281691097574e-11,5,5.118543000000e-09;5.111928000000e-09;5.145515000000e-09;5.109487000000e-09;5.121156000000e-09
12.0,-0.610000,-0.610000,5.726125600000e-09,8.193961254485e-12,5,5.720412000000e-09;5.740849000000e-09;5.718135000000e-09;5.728926000000e-09;5.722306000000e-09
12.0,-0.600000,-0.600000,6.396949200000e-09,6.272240728799e-12,5,6.387261000000e-09;6.398298000000e-09;6.393408000000e-09;6.399897000000e-09;6.405882000000e-09
12.0,-0.590000,-0.590000,7.082775000000e-09,1.109217214075e-11,5,7.068305000000e-09;7.086005000000e-09;7.097929000000e-09;7.071928000000e-09;7.089708000000e-09
12.0,-0.580000,-0.580000,7.798390200000e-09,1.109603207277e-11,5,7.787527000000e-09;7.803077000000e-09;7.785421000000e-09;7.815842000000e-09;7.800084000000e-09
12.0,-0.570000,-0.570000,8.583316200000e-09,1.670743227908e-11,5,8.577835000000e-09;8.605400000000e-09;8.560311000000e-09;8.599328000000e-09;8.573707000000e-09
12.0,-0.560000,-0.560000,9.393995800000e-09,1.997484213104e-11,5,9.367983000000e-09;9.418630000000e-09;9.385972000000e-09;9.416059000000e-09;9.381335000000e-09
12.0,-0.550000,-0.550000,1.026673600000e-08,1.780700379064e-11,5,1.027447000000e-08;1.025302000000e-08;1.027286000000e-08;1.024117000000e-08;1.029216000000e-08
12.0,-0.540000,-0.540000,1.116389800000e-08,1.422556628047e-11,5,1.117472000000e-08;1.114944000000e-08;1.116865000000e-08;1.114514000000e-08;1.118154000000e-08
12.0,-0.530000,-0.530000,1.210328200000e-08,1.203671450189e-11,5,1.210463000000e-08;1.212574000000e-08;1.209970000000e-08;1.209384000000e-08;1.209250000000e-08
12.0,-0.520000,-0.520000,1.313281200000e-08,2.676080297749e-11,5,1.316201000000e-08;1.310057000000e-08;1.315283000000e-08;1.310041000000e-08;1.314824000000e-08
12.0,-0.510000,-0.510000,1.416745800000e-08,2.176050495738e-11,5,1.418965000000e-08;1.414093000000e-08;1.417899000000e-08;1.414136000000e-08;1.418636000000e-08
12.0,-0.500000,-0.500000,1.524177400000e-08,2.962234129842e-11,5,1.522162000000e-08;1.528736000000e-08;1.521197000000e-08;1.526638000000e-08;1.522154000000e-08
12.0,-0.490000,-0.490000,1.642647600000e-08,2.541987379984e-11,5,1.643324000000e-08;1.639577000000e-08;1.646379000000e-08;1.640029000000e-08;1.643929000000e-08
12.0,-0.480000,-0.480000,1.761296400000e-08,2.391850296319e-11,5,1.758168000000e-08;1.765353000000e-08;1.759913000000e-08;1.761939000000e-08;1.761109000000e-08
12.0,-0.470000,-0.470000,1.886445600000e-08,2.686163852039e-11,5,1.888562000000e-08;1.883598000000e-08;1.889867000000e-08;1.883080000000e-08;1.887121000000e-08
12.0,-0.460000,-0.460000,2.021269400000e-08,1.792049619849e-11,5,2.022617000000e-08;2.017800000000e-08;2.022661000000e-08;2.021609000000e-08;2.021660000000e-08
12.0,-0.450000,-0.450000,2.157792200000e-08,2.101128306411e-11,5,2.155354000000e-08;2.158831000000e-08;2.157208000000e-08;2.161308000000e-08;2.156260000000e-08
12.0,-0.440000,-0.440000,2.304451600000e-08,2.008028246813e-11,5,2.305367000000e-08;2.301545000000e-08;2.306914000000e-08;2.302683000000e-08;2.305749000000e-08
12.0,-0.430000,-0.430000,2.452624800000e-08,2.143679024481e-11,5,2.450968000000e-08;2.456333000000e-08;2.450454000000e-08;2.453623000000e-08;2.451746000000e-08
12.0,-0.420000,-0.420000,2.606455800000e-08,1.405291058820e-11,5,2.605849000000e-08;2.608277000000e-08;2.605811000000e-08;2.607846000000e-08;2.604496000000e-08
12.0,-0.410000,-0.410000,2.773794800000e-08,7.892929494174e-12,5,2.774474000000e-08;2.772400000000e-08;2.774134000000e-08;2.774494000000e-08;2.773472000000e-08
12.0,-0.400000,-0.400000,2.941683400000e-08,4.976450944196e-12,5,2.942406000000e-08;2.941103000000e-08;2.942049000000e-08;2.941671000000e-08;2.941188000000e-08
12.0,-0.390000,-0.390000,3.116146400000e-08,9.273624102798e-12,5,3.115334000000e-08;3.115970000000e-08;3.116037000000e-08;3.115472000000e-08;3.117919000000e-08
12.0,-0.380000,-0.380000,3.302765000000e-08,6.310477002574e-12,5,3.301972000000e-08;3.303649000000e-08;3.302191000000e-08;3.303266000000e-08;3.302747000000e-08
12.0,-0.370000,-0.370000,3.493401200000e-08,6.084479928473e-12,5,3.492329000000e-08;3.493555000000e-08;3.493219000000e-08;3.494091000000e-08;3.493812000000e-08
12.0,-0.360000,-0.360000,3.690300200000e-08,6.097315474862e-12,5,3.690928000000e-08;3.690135000000e-08;3.691067000000e-08;3.689902000000e-08;3.689469000000e-08
12.0,-0.350000,-0.350000,3.901096800000e-08,8.167313879117e-12,5,3.901973000000e-08;3.902206000000e-08;3.900314000000e-08;3.900521000000e-08;3.900470000000e-08
