LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
4.1,-4.380000,-4.380000,-1.236803666667e-08,1.798246059049e-12,3,-1.236955000000e-08;-1.236905000000e-08;-1.236551000000e-08,550,RCA 929  green 4.1V
4.1,-4.360000,-4.360000,-1.236531000000e-08,4.826807088196e-12,3,-1.235990000000e-08;-1.236441000000e-08;-1.237162000000e-08,550,RCA 929  green 4.1V
4.1,-4.340000,-4.340000,-1.235324333333e-08,8.227135318904e-12,3,-1.236407000000e-08;-1.235152000000e-08;-1.234414000000e-08,550,RCA 929  green 4.1V
4.1,-4.320000,-4.320000,-1.236159000000e-08,4.008923379994e-12,3,-1.236323000000e-08;-1.235607000000e-08;-1.236547000000e-08,550,RCA 929  green 4.1V
4.1,-4.300000,-4.300000,-1.235099333333e-08,3.951761913656e-12,3,-1.234545000000e-08;-1.235438000000e-08;-1.235315000000e-08,550,RCA 929  green 4.1V
4.1,-4.280000,-4.280000,-1.235428333333e-08,4.007612201243e-12,3,-1.235851000000e-08;-1.234890000000e-08;-1.235544000000e-08,550,RCA 929  green 4.1V
4.1,-4.260000,-4.260000,-1.234530000000e-08,3.077888886883e-12,3,-1.234950000000e-08;-1.234221000000e-08;-1.234419000000e-08,550,RCA 929  green 4.1V
4.1,-4.240000,-4.240000,-1.233460000000e-08,1.277523646226e-12,3,-1.233596000000e-08;-1.233495000000e-08;-1.233289000000e-08,550,RCA 929  green 4.1V
4.1,-4.220000,-4.220000,-1.233761000000e-08,1.253501761732e-12,3,-1.233858000000e-08;-1.233584000000e-08;-1.233841000000e-08,550,RCA 929  green 4.1V
4.1,-4.200000,-4.200000,-1.233434666667e-08,2.039220984156e-12,3,-1.233150000000e-08;-1.233537000000e-08;-1.233617000000e-08,550,RCA 929  green 4.1V
4.1,-4.180000,-4.180000,-1.232327000000e-08,4.028332988553e-12,3,-1.232809000000e-08;-1.231823000000e-08;-1.232349000000e-08,550,RCA 929  green 4.1V
4.1,-4.160000,-4.160000,-1.232300333333e-08,6.478854494087e-12,3,-1.232497000000e-08;-1.231427000000e-08;-1.232977000000e-08,550,RCA 929  green 4.1V
4.1,-4.140000,-4.140000,-1.231647000000e-08,3.044415652743e-12,3,-1.231928000000e-08;-1.231789000000e-08;-1.231224000000e-08,550,RCA 929  green 4.1V
4.1,-4.120000,-4.120000,-1.232412333333e-08,1.547262816144e-12,3,-1.232602000000e-08;-1.232223000000e-08;-1.232412000000e-08,550,RCA 929  green 4.1V
4.1,-4.100000,-4.100000,-1.231973000000e-08,6.961901081362e-12,3,-1.231574000000e-08;-1.231393000000e-08;-1.232952000000e-08,550,RCA 929  green 4.1V
4.1,-4.080000,-4.080000,-1.232036666667e-08,4.273252729349e-12,3,-1.231889000000e-08;-1.232618000000e-08;-1.231603000000e-08,550,RCA 929  green 4.1V
4.1,-4.060000,-4.060000,-1.231401333333e-08,1.308977548403e-12,3,-1.231224000000e-08;-1.231444000000e-08;-1.231536000000e-08,550,RCA 929  green 4.1V
4.1,-4.040000,-4.040000,-1.230825666667e-08,4.293454967221e-12,3,-1.230226000000e-08;-1.231208000000e-08;-1.231043000000e-08,550,RCA 929  green 4.1V
4.1,-4.020000,-4.020000,-1.229933333333e-08,3.431824911359e-12,3,-1.229952000000e-08;-1.229504000000e-08;-1.230344000000e-08,550,RCA 929  green 4.1V
4.1,-4.000000,-4.000000,-1.230886000000e-08,1.542271052702e-12,3,-1.230989000000e-08;-1.231001000000e-08;-1.230668000000e-08,550,RCA 929  green 4.1V
4.1,-3.980000,-3.980000,-1.229957333333e-08,3.227035102932e-12,3,-1.229665000000e-08;-1.229800000000e-08;-1.230407000000e-08,550,RCA 929  green 4.1V
4.1,-3.960000,-3.960000,-1.229265333333e-08,5.836079353661e-12,3,-1.229682000000e-08;-1.228440000000e-08;-1.229674000000e-08,550,RCA 929  green 4.1V
4.1,-3.940000,-3.940000,-1.229145000000e-08,6.924540899342e-12,3,-1.228923000000e-08;-1.228430000000e-08;-1.230082000000e-08,550,RCA 929  green 4.1V
4.1,-3.920000,-3.920000,-1.228381000000e-08,4.586327506841e-12,3,-1.228215000000e-08;-1.227921000000e-08;-1.229007000000e-08,550,RCA 929  green 4.1V
4.1,-3.900000,-3.900000,-1.227663333333e-08,1.998471638250e-12,3,-1.227845000000e-08;-1.227385000000e-08;-1.227760000000e-08,550,RCA 929  green 4.1V
4.1,-3.880000,-3.880000,-1.228330333333e-08,4.809451343160e-12,3,-1.227857000000e-08;-1.228144000000e-08;-1.228990000000e-08,550,RCA 929  green 4.1V
4.1,-3.860000,-3.860000,-1.227621000000e-08,5.339681638450e-12,3,-1.226867000000e-08;-1.227962000000e-08;-1.228034000000e-08,550,RCA 929  green 4.1V
4.1,-3.840000,-3.840000,-1.226616666667e-08,1.388172259564e-11,3,-1.227090000000e-08;-1.224730000000e-08;-1.228030000000e-08,550,RCA 929  green 4.1V
4.1,-3.820000,-3.820000,-1.226601666667e-08,1.432348498872e-12,3,-1.226686000000e-08;-1.226400000000e-08;-1.226719000000e-08,550,RCA 929  green 4.1V
4.1,-3.800000,-3.800000,-1.226720000000e-08,3.880317856396e-12,3,-1.226421000000e-08;-1.226471000000e-08;-1.227268000000e-08,550,RCA 929  green 4.1V
