LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
3.1,-4.400000,-4.400000,-2.970209666667e-07,1.295745173850e-11,3,-2.970084000000e-07;-2.970388000000e-07;-2.970157000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.380000,-4.380000,-2.970104000000e-07,1.512767882613e-11,3,-2.970051000000e-07;-2.970310000000e-07;-2.969951000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.360000,-4.360000,-2.970010000000e-07,8.800378779731e-12,3,-2.970113000000e-07;-2.969898000000e-07;-2.970019000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.340000,-4.340000,-2.970338000000e-07,1.387876075158e-11,3,-2.970249000000e-07;-2.970231000000e-07;-2.970534000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.320000,-4.320000,-2.970025333333e-07,7.048561713010e-12,3,-2.970107000000e-07;-2.969935000000e-07;-2.970034000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.300000,-4.300000,-2.969841000000e-07,1.766597482923e-11,3,-2.969869000000e-07;-2.969612000000e-07;-2.970042000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.280000,-4.280000,-2.969140333333e-07,1.691258571465e-11,3,-2.969149000000e-07;-2.969343000000e-07;-2.968929000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.260000,-4.260000,-2.969133000000e-07,1.513560922682e-11,3,-2.969304000000e-07;-2.969159000000e-07;-2.968936000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.240000,-4.240000,-2.968973666667e-07,2.269938814643e-11,3,-2.969001000000e-07;-2.969237000000e-07;-2.968683000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.220000,-4.220000,-2.968296666667e-07,2.745242349148e-11,3,-2.968598000000e-07;-2.968358000000e-07;-2.967934000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.200000,-4.200000,-2.967786000000e-07,1.801406857618e-11,3,-2.968026000000e-07;-2.967740000000e-07;-2.967592000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.180000,-4.180000,-2.967561666667e-07,2.315301756190e-11,3,-2.967541000000e-07;-2.967855000000e-07;-2.967289000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.160000,-4.160000,-2.967527000000e-07,1.012159407736e-11,3,-2.967461000000e-07;-2.967450000000e-07;-2.967670000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.140000,-4.140000,-2.967589333333e-07,8.886819203495e-12,3,-2.967715000000e-07;-2.967525000000e-07;-2.967528000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.120000,-4.120000,-2.967360333333e-07,2.656944778417e-11,3,-2.967278000000e-07;-2.967084000000e-07;-2.967719000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.100000,-4.100000,-2.967333666667e-07,2.122645100394e-11,3,-2.967042000000e-07;-2.967541000000e-07;-2.967418000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.080000,-4.080000,-2.967854000000e-07,6.985561299328e-11,3,-2.967004000000e-07;-2.968715000000e-07;-2.967843000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.060000,-4.060000,-2.968433000000e-07,2.103441624260e-11,3,-2.968299000000e-07;-2.968730000000e-07;-2.968270000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.040000,-4.040000,-2.967823666667e-07,2.579332385628e-11,3,-2.967486000000e-07;-2.968112000000e-07;-2.967873000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.020000,-4.020000,-2.967223666667e-07,2.703014777779e-11,3,-2.967601000000e-07;-2.966982000000e-07;-2.967088000000e-07,402,RCA 929 3.09V 23 mA
3.1,-4.000000,-4.000000,-2.967182000000e-07,2.991131335577e-11,3,-2.967391000000e-07;-2.966759000000e-07;-2.967396000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.980000,-3.980000,-2.967043333333e-07,9.295638164690e-12,3,-2.967114000000e-07;-2.967104000000e-07;-2.966912000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.960000,-3.960000,-2.967032666667e-07,1.924826110473e-11,3,-2.967262000000e-07;-2.966791000000e-07;-2.967045000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.940000,-3.940000,-2.966443000000e-07,4.469899327738e-12,3,-2.966380000000e-07;-2.966479000000e-07;-2.966470000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.920000,-3.920000,-2.965781333333e-07,2.154782793899e-11,3,-2.965920000000e-07;-2.965477000000e-07;-2.965947000000e-07,402,RCA 929 3.09V 23 mA
3.1,-3.900000,-3.900000,-2.965955333333e-07,7.261925058527e-12,3,-2.966014000000e-07;-2.965853000000e-07;-2.965999000000e-07,402,RCA 929 3.09V 23 mA
