LED_V,V_set,V_actual,I_avg_A,I_std_A,N,Readings_A,Wavelength_nm,Comment
4.6,-4.400000,-4.400000,-2.136540333333e-09,2.985942322878e-12,3,-2.138057000000e-09;-2.139195000000e-09;-2.132369000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.380000,-4.380000,-2.144660000000e-09,1.331819179418e-11,3,-2.152807000000e-09;-2.125880000000e-09;-2.155293000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.360000,-4.360000,-2.130978666667e-09,1.192535138080e-11,3,-2.131442000000e-09;-2.145347000000e-09;-2.116147000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.340000,-4.340000,-2.136232333333e-09,1.645314244217e-11,3,-2.137510000000e-09;-2.115473000000e-09;-2.155714000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.320000,-4.320000,-2.121132000000e-09,1.741539504768e-11,3,-2.101439000000e-09;-2.143788000000e-09;-2.118169000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.300000,-4.300000,-2.131948000000e-09,2.309537438536e-11,3,-2.147792000000e-09;-2.099291000000e-09;-2.148761000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.280000,-4.280000,-2.118969666667e-09,1.201797493572e-11,3,-2.109868000000e-09;-2.135951000000e-09;-2.111090000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.260000,-4.260000,-2.126371666667e-09,2.021195331701e-11,3,-2.129883000000e-09;-2.100049000000e-09;-2.149183000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.240000,-4.240000,-2.127340666667e-09,1.220613589780e-11,3,-2.117537000000e-09;-2.119938000000e-09;-2.144547000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.220000,-4.220000,-2.122115666667e-09,1.167452315467e-11,3,-2.109910000000e-09;-2.137847000000e-09;-2.118590000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.200000,-4.200000,-2.122326000000e-09,1.498723376744e-11,3,-2.136246000000e-09;-2.101524000000e-09;-2.129208000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.180000,-4.180000,-2.117620666667e-09,1.887044889650e-11,3,-2.097942000000e-09;-2.143071000000e-09;-2.111849000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.160000,-4.160000,-2.118898000000e-09,2.784215064729e-11,3,-2.143998000000e-09;-2.080075000000e-09;-2.132621000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.140000,-4.140000,-2.111636666667e-09,1.724119261794e-11,3,-2.101060000000e-09;-2.135951000000e-09;-2.097899000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.120000,-4.120000,-2.116707000000e-09,1.276471576913e-11,3,-2.101059000000e-09;-2.132326000000e-09;-2.116736000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.100000,-4.100000,-2.110667666667e-09,1.781240961303e-11,3,-2.120106000000e-09;-2.085722000000e-09;-2.126175000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.080000,-4.080000,-2.096340000000e-09,1.508119573067e-11,3,-2.090483000000e-09;-2.117029000000e-09;-2.081508000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.060000,-4.060000,-2.104474000000e-09,1.580537585760e-11,3,-2.111216000000e-09;-2.082647000000e-09;-2.119559000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.040000,-4.040000,-2.097253666667e-09,1.979383785143e-11,3,-2.114965000000e-09;-2.069625000000e-09;-2.107171000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.020000,-4.020000,-2.099754333333e-09,2.215886348369e-11,3,-2.110162000000e-09;-2.068952000000e-09;-2.120149000000e-09,590,RCA 929  yellow 4.6V
4.6,-4.000000,-4.000000,-2.097113000000e-09,2.087577765418e-11,3,-2.074935000000e-09;-2.125078000000e-09;-2.091326000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.980000,-3.980000,-2.102590333333e-09,1.952862351069e-11,3,-2.117746000000e-09;-2.075018000000e-09;-2.115007000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.960000,-3.960000,-2.085862333333e-09,1.779540900220e-11,3,-2.070426000000e-09;-2.110794000000e-09;-2.076367000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.940000,-3.940000,-2.077758000000e-09,1.112328665458e-11,3,-2.070468000000e-09;-2.093475000000e-09;-2.069331000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.920000,-3.920000,-2.085468666667e-09,9.381961569357e-12,3,-2.098068000000e-09;-2.075567000000e-09;-2.082771000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.900000,-3.900000,-2.083221000000e-09,4.988303185119e-12,3,-2.089598000000e-09;-2.077420000000e-09;-2.082645000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.880000,-3.880000,-2.078417000000e-09,1.026756806649e-11,3,-2.064652000000e-09;-2.081296000000e-09;-2.089303000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.860000,-3.860000,-2.079681666667e-09,8.738914972060e-12,3,-2.067897000000e-09;-2.088798000000e-09;-2.082350000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.840000,-3.840000,-2.071787333333e-09,1.136386848256e-11,3,-2.065116000000e-09;-2.087785000000e-09;-2.062461000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.820000,-3.820000,-2.078965333333e-09,7.286297474636e-12,3,-2.087618000000e-09;-2.069793000000e-09;-2.079485000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.800000,-3.800000,-2.074358000000e-09,2.099298454246e-12,3,-2.075693000000e-09;-2.075987000000e-09;-2.071394000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.780000,-3.780000,-2.067320666667e-09,6.746976475100e-12,3,-2.059216000000e-09;-2.075734000000e-09;-2.067012000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.760000,-3.760000,-2.067124666667e-09,2.781286672667e-12,3,-2.065158000000e-09;-2.071058000000e-09;-2.065158000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.740000,-3.740000,-2.064568000000e-09,6.401657962330e-12,3,-2.065916000000e-09;-2.071647000000e-09;-2.056141000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.720000,-3.720000,-2.060705333333e-09,4.129179444985e-12,3,-2.066211000000e-09;-2.059638000000e-09;-2.056267000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.700000,-3.700000,-2.057671333333e-09,3.725866372030e-12,3,-2.061196000000e-09;-2.052517000000e-09;-2.059301000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.680000,-3.680000,-2.058444333333e-09,4.664757966807e-12,3,-2.051927000000e-09;-2.060818000000e-09;-2.062588000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.660000,-3.660000,-2.054019666667e-09,4.301225355123e-12,3,-2.048809000000e-09;-2.059343000000e-09;-2.053907000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.640000,-3.640000,-2.058907333333e-09,5.991233892576e-12,3,-2.052222000000e-09;-2.057742000000e-09;-2.066758000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.620000,-3.620000,-2.056379000000e-09,5.490000060716e-12,3,-2.063768000000e-09;-2.054749000000e-09;-2.050620000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.600000,-3.600000,-2.041531666667e-09,4.341158857059e-12,3,-2.035408000000e-09;-2.044214000000e-09;-2.044973000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.580000,-3.580000,-2.049749333333e-09,1.762989947661e-12,3,-2.048050000000e-09;-2.049019000000e-09;-2.052179000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.560000,-3.560000,-2.064919000000e-09,9.566429880926e-12,3,-2.051420000000e-09;-2.072448000000e-09;-2.070889000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.540000,-3.540000,-2.045465000000e-09,3.149924549361e-12,3,-2.047586000000e-09;-2.047797000000e-09;-2.041012000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.520000,-3.520000,-2.050984333333e-09,4.832169722001e-12,3,-2.044298000000e-09;-2.055550000000e-09;-2.053105000000e-09,590,RCA 929  yellow 4.6V
4.6,-3.500000,-3.500000,-2.041827333333e-09,6.450978702664e-12,3,-2.050620000000e-09;-2.035324000000e-09;-2.039538000000e-09,590,RCA 929  yellow 4.6V
